Date,Open,High,Low,Close,Adj Close,Volume
2023-03-13,1885.0,1953.5,1813.780029296875,1912.0,1912.0,1608994
2023-03-14,1907.0,1934.0,1888.0,1920.0,1920.0,976019
2023-03-15,1910.0,1944.7879638671875,1892.0,1896.5,1896.5,2054339
2023-03-16,1924.0,1978.5,1919.5,1954.5,1954.5,1321579
2023-03-17,1960.0,1967.5,1890.5,1914.5,1914.5,2354810
2023-03-20,1887.0,1954.5,1881.0,1937.0,1937.0,484578
2023-03-21,1950.0,1975.5,1940.4510498046875,1970.0,1970.0,636148
2023-03-22,1970.0,1995.0,1964.5,1995.0,1995.0,2065216
2023-03-23,1998.5,2013.0,1982.0,2010.0,2010.0,1568902
2023-03-24,2003.0,2008.0,1974.5,1996.0,1996.0,1324391
2023-03-27,2010.0,2040.0,2001.02001953125,2024.0,2024.0,642055
2023-03-28,2037.0,2040.0,1983.0,1994.5,1994.5,988351
2023-03-29,1999.0,2039.0,1986.0,2018.0,2018.0,832889
2023-03-30,2030.0,2038.0,2002.0,2015.0,2015.0,823894
2023-03-31,2021.0,2051.0,2016.0,2038.0,2038.0,548851
2023-04-03,2039.0,2056.699951171875,2029.0,2051.0,2051.0,377480
2023-04-04,2065.0,2090.0,2058.0,2078.0,2078.0,930966
2023-04-05,2086.0,2132.0,2080.0,2132.0,2132.0,682529
2023-04-06,2134.0,2228.0,2129.0,2228.0,2228.0,654361
2023-04-11,2231.0,2271.0,2223.0,2271.0,2271.0,762535
2023-04-12,2278.0,2297.0,2257.0,2289.0,2289.0,486044
2023-04-13,2302.0,2306.0,2277.0,2282.0,2282.0,404562
2023-04-14,2285.0,2291.0,2209.75,2222.0,2222.0,498416
2023-04-17,2223.0,2232.0,2187.998046875,2193.0,2193.0,524581
2023-04-18,2197.0,2244.0,2193.0,2234.0,2234.0,539325
2023-04-19,2222.0,2283.0,2221.0,2272.0,2272.0,428280
2023-04-20,2274.0,2278.0,2253.0,2272.0,2272.0,355064
2023-04-21,2264.0,2277.0,2238.0,2261.0,2261.0,432332
2023-04-24,2265.0,2275.0,2250.0,2262.0,2262.0,435858
2023-04-25,2251.0,2278.0,2249.5,2259.0,2259.0,392007
2023-04-26,2260.0,2271.0,2224.0,2248.0,2248.0,534964
2023-04-27,2250.0,2278.0,2239.0,2273.0,2273.0,510061
2023-04-28,2275.0,2321.0,2270.0,2311.0,2311.0,498574
2023-05-02,2318.0,2318.0,2284.0,2288.0,2288.0,620130
2023-05-03,2286.0,2305.0,2267.0,2282.0,2282.0,683381
2023-05-04,2232.0,2236.9951171875,2195.0,2207.0,2207.0,663045
2023-05-05,2223.0,2240.0,2217.0,2236.0,2236.0,375303
2023-05-09,2191.0,2228.993896484375,2148.0,2222.0,2222.0,1985709
2023-05-10,2227.0,2227.0,2126.0,2175.0,2175.0,558692
2023-05-11,2172.0,2234.0,2166.0,2234.0,2234.0,526371
2023-05-12,2233.0,2278.0,2233.0,2254.0,2254.0,437661
2023-05-15,2267.0,2278.0,2219.0,2247.0,2247.0,293813
2023-05-16,2248.0,2258.0,2193.0,2193.0,2193.0,503130
2023-05-17,2178.0,2206.0,2171.0,2190.0,2190.0,800216
2023-05-18,2203.0,2238.0,2201.0,2227.0,2227.0,468994
2023-05-19,2235.0,2266.0,2219.0,2249.0,2249.0,450595
2023-05-22,2260.0,2306.0,2236.8720703125,2306.0,2306.0,1438845
2023-05-23,2300.0,2324.199951171875,2292.0,2300.0,2300.0,487518
2023-05-24,2287.0,2307.0,2249.9990234375,2279.0,2279.0,1068881
2023-05-25,2296.0,2344.0,2287.0,2313.0,2313.0,582364
2023-05-26,2317.0,2329.0,2290.0,2319.0,2319.0,461814
2023-05-30,2331.0,2361.0,2323.0,2336.0,2336.0,547006
2023-05-31,2333.0,2354.0,2304.0,2325.0,2325.0,5923392
2023-06-01,2325.0,2330.0,2280.0,2307.0,2307.0,713756
2023-06-02,2298.0,2374.0,2298.0,2374.0,2374.0,579526
2023-06-05,2375.0,2399.0009765625,2359.0,2364.0,2364.0,405110
2023-06-06,2370.0,2404.0,2350.0,2392.0,2392.0,434692
2023-06-07,2396.0,2404.407958984375,2321.0,2321.0,2321.0,594162
2023-06-08,2322.0,2340.299072265625,2279.0,2293.0,2293.0,607651
2023-06-09,2292.0,2294.0,2258.0,2294.0,2294.0,569297
2023-06-12,2313.0,2345.0,2310.0,2328.0,2328.0,434074
2023-06-13,2239.0,2255.75,2157.0,2209.0,2209.0,785519
2023-06-14,2210.0,2265.0,2199.0,2251.0,2251.0,890936
2023-06-15,2233.0,2280.0,2203.0,2211.0,2211.0,637612
2023-06-16,2215.0,2235.0,2175.0,2175.0,2175.0,1991102
2023-06-19,2167.0,2197.0,2158.0,2159.0,2159.0,576053
2023-06-20,2158.0,2172.0,2119.0,2158.0,2158.0,486178
2023-06-21,2144.0,2156.0,2129.0,2131.0,2131.0,474162
2023-06-22,2110.0,2129.98095703125,2091.0,2095.0,2095.0,407716
2023-06-23,2090.0,2127.0,2070.0,2116.0,2116.0,487438
2023-06-26,2116.0,2154.0,2101.0,2154.0,2154.0,427573
2023-06-27,2157.0,2160.0,2113.0,2138.0,2138.0,446099
2023-06-28,2138.0,2138.0,2040.0,2067.0,2067.0,771242
2023-06-29,2066.0,2073.493896484375,2045.0,2056.0,2056.0,337280
2023-06-30,2066.0,2094.0,2047.0,2082.0,2082.0,526709
2023-07-03,2091.0,2099.0,2077.0,2091.0,2091.0,4030494
2023-07-04,2099.0,2105.0,2077.0,2099.0,2099.0,313235
2023-07-05,2113.0,2120.47998046875,2072.0,2074.0,2074.0,427358
2023-07-06,2062.0,2062.0,2028.0,2035.0,2035.0,448601
2023-07-07,2036.0,2046.0,2015.0,2029.0,2029.0,328738
2023-07-10,2010.0,2076.0,2010.0,2067.0,2067.0,749600
2023-07-11,2061.0,2068.0,2025.0,2044.0,2044.0,372793
2023-07-12,2044.0,2082.679931640625,2031.0,2077.0,2077.0,354297
2023-07-13,2069.0,2110.0,2068.0,2090.0,2090.0,373902
2023-07-14,2074.0,2089.0,2051.0,2066.0,2066.0,782528
2023-07-17,2058.0,2074.0,2048.0,2055.0,2055.0,395301
2023-07-18,2061.0,2088.0,2047.81494140625,2081.0,2081.0,351508
2023-07-19,2111.0,2186.0,2111.0,2178.0,2178.0,1016025
2023-07-20,2188.0,2221.0,2173.0,2206.0,2206.0,420943
2023-07-21,2208.0,2228.069091796875,2184.0,2221.0,2221.0,382719
2023-07-24,2221.0,2240.4609375,2217.0,2227.0,2227.0,255072
2023-07-25,2208.0,2297.0,2203.0,2297.0,2297.0,494063
2023-07-26,2293.0,2307.0,2281.0,2289.0,2289.0,630601
2023-07-27,2305.0,2316.0,2274.0,2274.0,2274.0,1152986
2023-07-28,2272.0,2279.0,2158.0,2158.0,2158.0,815704
2023-07-31,2133.0,2155.991943359375,2120.0,2129.0,2129.0,488543
2023-08-01,2146.0,2155.0,2121.0,2130.0,2130.0,593281
2023-08-02,2108.0,2113.493896484375,2048.0,2058.0,2058.0,965352
2023-08-03,2075.0,2180.0,2043.9630126953125,2134.0,2134.0,1426316
2023-08-04,2124.0,2138.0,2081.0,2125.0,2125.0,267880
2023-08-07,2101.0,2123.0,2091.0,2118.0,2118.0,358682
