Date,Open,High,Low,Close,Adj Close,Volume
2023-03-13,900.0,932.5,873.97998046875,882.5,882.5,39269
2023-03-14,896.0,952.25,833.0,904.5,904.5,29467
2023-03-15,906.5,927.0,855.489990234375,881.5,881.5,31217
2023-03-16,886.0,940.0,876.1400146484375,919.5,919.5,26597
2023-03-17,905.0,923.7100219726562,878.5,883.5,883.5,35527
2023-03-20,906.0,942.0,865.5,876.0,876.0,8953
2023-03-21,912.0,943.5,867.0,872.0,872.0,27735
2023-03-22,879.5,921.8040161132812,856.5,899.5,899.5,27930
2023-03-23,896.5,910.0,889.0,909.0,909.0,10253
2023-03-24,893.0,932.5,863.5,908.5,908.5,29482
2023-03-27,907.5,907.5,809.97998046875,900.5,900.5,83317
2023-03-28,900.0,927.5,861.0,900.0,900.0,560068
2023-03-29,890.0,928.0999755859375,890.0,904.5,904.5,19861
2023-03-30,899.5,937.5,899.5,925.5,925.5,19974
2023-03-31,905.0,959.0,905.0,926.5,926.5,34801
2023-04-03,906.0,933.0,890.280029296875,932.0,932.0,23771
2023-04-04,977.0,977.0,910.5999755859375,939.0,939.0,17713
2023-04-05,978.0,978.0,879.0,913.0,913.0,150222
2023-04-06,914.0,928.0,879.5599975585938,917.0,917.0,21110
2023-04-11,900.0,935.6799926757812,900.0,922.0,922.0,13228
2023-04-12,896.0,938.0,896.0,938.0,938.0,85851
2023-04-13,917.0,955.9920043945312,915.0,950.0,950.0,19207
2023-04-14,918.0,984.0,918.0,949.0,949.0,10041
2023-04-17,963.0,999.0,918.0,950.0,950.0,7179
2023-04-18,998.0,998.0,919.0,957.0,957.0,7763
2023-04-19,978.0,978.0,934.0,961.0,961.0,20182
2023-04-20,946.0,960.0,919.0,939.0,939.0,26221
2023-04-21,955.0,992.0,936.1270141601562,939.0,939.0,17687
2023-04-24,939.0,994.0,927.4000244140625,953.0,953.0,9553
2023-04-25,950.0,962.0,929.030029296875,947.0,947.0,19135
2023-04-26,940.0,990.6099853515625,928.5,965.0,965.0,11583
2023-04-27,960.0,982.0,951.7999877929688,975.0,975.0,18503
2023-04-28,987.0,1015.969970703125,970.0999755859375,993.0,993.0,55049
2023-05-02,1042.0,1092.0,945.8499755859375,983.0,983.0,35314
2023-05-03,1024.0,1024.0,933.0,952.0,952.0,39724
2023-05-04,995.0,995.0,929.0,954.0,954.0,33762
2023-05-05,952.0,997.0,931.0,943.0,943.0,11335
