Date,Open,High,Low,Close,Adj Close,Volume
2023-03-13,580.0,580.0,545.0,545.0,545.0,6821176
2023-03-14,543.0,548.0,528.0,544.5,544.5,5775756
2023-03-15,543.5,548.5,528.5,528.5,528.5,5744697
2023-03-16,534.5,539.4450073242188,519.0009765625,534.0,534.0,12248651
2023-03-17,538.5,542.5,519.5,519.5,519.5,10390420
2023-03-20,512.0,534.0,504.0,530.0,530.0,4552441
2023-03-21,537.0,550.5,536.0,547.5,547.5,2356095
2023-03-22,548.0,551.5,540.5,549.5,549.5,2537772
2023-03-23,546.5,561.0,545.0,557.0,557.0,3883142
2023-03-24,556.0,564.5,549.0,564.5,564.5,3905291
2023-03-27,569.0,573.5,566.5,569.0,569.0,2946439
2023-03-28,567.0,575.5,558.5,560.0,560.0,4283706
2023-03-29,558.0,574.0,558.0,571.0,571.0,3755456
2023-03-30,580.0,586.5,574.5,585.0,585.0,3259344
2023-03-31,605.0,620.0,594.5,597.5,597.5,3047026
2023-04-03,597.0,597.6199951171875,573.0,587.5,587.5,3709677
2023-04-04,591.0,600.5009765625,590.0,590.0,590.0,6049001
2023-04-05,595.5,597.5,590.5,593.0,593.0,1476345
2023-04-06,593.0,605.0,593.0,602.5,602.5,1271036
2023-04-11,603.5,606.5,587.5,593.0,593.0,3300084
2023-04-12,594.0,594.0,583.0,590.0,590.0,3253882
2023-04-13,593.5,601.5,590.0,596.5,596.5,3107990
2023-04-14,600.0,600.0,582.0,583.0,583.0,1604381
2023-04-17,583.0,586.0,571.5,571.5,571.5,2487858
2023-04-18,573.0,581.5,567.5,581.5,581.5,2952729
2023-04-19,584.5,584.5,574.0,578.5,578.5,1785981
2023-04-20,581.0,594.0,576.0,593.0,593.0,2198738
2023-04-21,585.5,604.0999755859375,583.5,585.5,585.5,2241829
2023-04-24,582.5,587.5,578.5,583.0,583.0,1216462
2023-04-25,583.0,588.0,576.0,585.0,585.0,1379766
2023-04-26,583.0,585.5,577.5,582.5,582.5,1295112
2023-04-27,584.0,587.0,579.5,580.0,580.0,1580672
2023-04-28,581.5,595.5,578.5,595.5,595.5,1885901
2023-05-02,595.0,605.0,589.5,590.5,590.5,1414771
2023-05-03,593.0,597.0,590.0,590.0,590.0,9306117
2023-05-04,591.0,592.5,579.5,581.5,581.5,1387212
2023-05-05,580.5,585.0,578.6680297851562,581.5,581.5,3226259
2023-05-09,580.5,594.0,578.5,590.5,590.5,2126232
2023-05-10,589.5,593.5,583.0,585.0,585.0,4229339
2023-05-11,588.5,590.5,581.5,586.5,586.5,1514175
2023-05-12,597.0,624.5,595.5,604.0,604.0,3106922
2023-05-15,605.0,614.5,602.5,614.5,614.5,4092694
2023-05-16,614.0,619.97998046875,609.5,610.5,610.5,1709256
2023-05-17,608.0,612.0469970703125,604.0,604.5,604.5,2113202
2023-05-18,613.0,613.0,603.25,606.5,606.5,1160081
2023-05-19,608.0,621.0,604.4400024414062,614.0,614.0,1608987
2023-05-22,622.5,625.0,617.5,619.0,619.0,1422079
2023-05-23,615.5,624.5499877929688,612.7020263671875,619.0,619.0,1753548
2023-05-24,614.0,616.5,601.0,603.5,603.5,2589897
2023-05-25,603.0,610.5,598.5,606.5,606.5,880869
2023-05-26,614.0,619.0,599.5499877929688,609.0,609.0,1468513
2023-05-30,611.5,621.5,605.5,612.5,612.5,849045
2023-05-31,611.0,614.0,605.5,605.5,605.5,2530548
2023-06-01,607.5,621.0,606.5,620.5,620.5,1752252
2023-06-02,625.0,628.5,615.0,620.5,620.5,3705938
2023-06-05,623.0,627.0,611.5,614.5,614.5,2513009
2023-06-06,614.5,617.0,606.0,612.5,612.5,1396154
2023-06-07,611.5,617.0,605.5,606.0,606.0,3420974
2023-06-08,606.5,613.0,592.5,595.0,595.0,1867735
2023-06-09,594.0,596.0,573.0,578.0,578.0,1481483
2023-06-12,584.0,587.5,572.0,574.5,574.5,967846
2023-06-13,578.5,578.5,566.0,568.0,568.0,3652435
2023-06-14,570.0,573.5,551.0,572.5,572.5,3112370
2023-06-15,577.0,579.0,569.7999877929688,575.5,575.5,1548664
2023-06-16,562.5,582.5,562.5,572.0,572.0,3385794
2023-06-19,563.0,575.0,563.0,575.0,575.0,1167656
2023-06-20,575.0,593.0,574.0,590.5,590.5,2577152
2023-06-21,588.0,595.0,584.5,585.5,585.5,1492359
2023-06-22,581.0,588.0,571.5,577.5,577.5,1617156
2023-06-23,574.5,576.5,566.0,570.0,570.0,1075972
2023-06-26,571.0,576.0,558.4500122070312,572.0,572.0,2125986
2023-06-27,572.5,583.0,572.5,579.0,579.0,1352908
2023-06-28,582.0,591.0,576.5,589.0,589.0,1485097
2023-06-29,594.5,594.5,580.0,580.5,580.5,6305441
2023-06-30,584.5,591.0,581.5,589.0,589.0,1243874
2023-07-03,594.5,596.5,579.5,588.0,588.0,5338084
2023-07-04,585.5,595.5,583.0,585.0,585.0,1509410
2023-07-05,589.0,589.0,571.0,574.5,574.5,1638300
2023-07-06,571.5,572.0,555.0,557.5,557.5,1373526
2023-07-07,557.0,557.0,549.0,555.5,555.5,1567822
2023-07-10,557.5,561.0,555.0,558.0,558.0,956940
2023-07-11,558.5,559.5,551.8300170898438,555.0,555.0,1047789
2023-07-12,557.5,575.6699829101562,557.5,575.5,575.5,3350004
2023-07-13,575.0,581.0,573.0,575.5,575.5,5220582
2023-07-14,585.0,585.0,569.0,569.0,569.0,3815066
2023-07-17,563.5,569.0,560.0,565.0,565.0,2414694
2023-07-18,567.0,567.0,556.5,557.0,557.0,1481521
2023-07-19,563.5,576.0,563.5,570.0,570.0,5973848
2023-07-20,578.0,578.0,566.5,573.5,573.5,6641212
2023-07-21,579.5,579.5,570.9509887695312,575.5,575.5,1093993
2023-07-24,572.5,574.5,558.0,558.0,558.0,3363952
2023-07-25,554.5,569.2490234375,554.5,558.5,558.5,1689575
2023-07-26,559.0,562.5,551.3400268554688,562.5,562.5,1548995
2023-07-27,573.5,578.5,561.0,573.0,573.0,2018477
2023-07-28,579.0,582.5,553.5,553.5,553.5,6207444
2023-07-31,547.5,555.5,544.0,548.5,548.5,1247799
2023-08-01,552.0,552.0,520.0,520.5,520.5,3892717
2023-08-02,515.0,519.5,499.3999938964844,507.5,507.5,4083706
2023-08-03,504.5,510.1600036621094,501.2200012207031,503.5,503.5,7038991
2023-08-04,505.0,505.0,497.0,503.0,503.0,2154979
2023-08-07,500.0,505.5,495.0,504.0,504.0,2008329
2023-08-08,508.0,531.5,505.489013671875,530.0,530.0,2908708
2023-08-09,534.5,542.0,526.0,532.0,532.0,2925969
2023-08-10,535.5,544.5,528.0,531.5,531.5,3175485
2023-08-11,531.0,538.2249755859375,522.5,537.5,537.5,4288564
2023-08-14,535.0,546.0,533.6799926757812,541.5,541.5,4980288
2023-08-15,535.0,543.0,533.9500122070312,540.0,540.0,2260707
2023-08-16,533.5,542.0,533.0,538.0,538.0,5736751
2023-08-17,530.5,542.0,530.5,535.5,535.5,1437115
2023-08-18,533.5,535.5,524.0,535.5,535.5,2335791
2023-08-21,531.0,541.5,531.0,537.5,537.5,3606721
2023-08-22,529.0,542.5,528.5,529.0,529.0,3785504
2023-08-23,532.0,542.0,531.5,534.5,534.5,1327567
2023-08-24,542.0,547.5,536.5,540.0,540.0,4434719
2023-08-25,539.0,547.5,536.5,541.0,541.0,1412274
2023-08-29,545.0,553.5,541.0,548.0,548.0,1724476
2023-08-30,550.0,558.5,548.5,548.5,548.5,1172495
2023-08-31,553.0,557.0,546.0,546.0,546.0,2241739
2023-09-01,547.0,551.5,545.5,551.5,551.5,3037853
2023-09-04,562.0,562.0,546.0,546.5,546.5,852177
2023-09-05,540.0,553.5,540.0,550.5,550.5,1754207
2023-09-06,547.0,550.0,539.5,541.0,541.0,1482409
2023-09-07,497.3999938964844,542.5,485.79998779296875,538.5,538.5,6924916
2023-09-08,538.0,551.5,529.0,549.0,549.0,1862160
2023-09-11,552.5,559.5,546.0,558.5,558.5,3803348
2023-09-12,560.0,569.9500122070312,557.5,563.0,563.0,10085084
2023-09-13,573.5,573.5,560.0,565.5,565.5,2072988
2023-09-14,562.0,581.5,560.52001953125,580.5,580.5,2480970
2023-09-15,584.5,591.0,581.5,590.0,590.0,4564913
2023-09-18,586.5,590.0,570.5,572.0,572.0,1885531
2023-09-19,573.0,580.0,571.5,575.5,575.5,2265747
2023-09-20,565.5,577.0,565.5,571.5,571.5,1671813
2023-09-21,570.5,575.5,567.5,567.5,567.5,1557855
2023-09-22,557.5,570.5,557.5,568.5,568.5,2076074
2023-09-25,573.5,573.5,552.5,561.0,561.0,7730554
2023-09-26,558.5,565.0,556.5,559.5,559.5,1067395
2023-09-27,556.5,559.5,546.5,547.0,547.0,1720789
2023-09-28,546.5,555.5,546.5,554.0,554.0,1611362
2023-09-29,556.0,558.0,550.5,553.5,553.5,2107665
2023-10-02,552.0,555.0,528.5,532.5,532.5,1417545
2023-10-03,536.0,538.5,530.5,533.0,533.0,983346
2023-10-04,524.5,536.0,523.0,526.5,526.5,2653087
2023-10-05,525.0,539.0,525.0,533.0,533.0,1183294
2023-10-06,538.5,549.0,533.5,542.0,542.0,1321961
2023-10-09,533.0,547.5,533.0,537.5,537.5,1206326
2023-10-10,543.0,547.5,534.5,537.5,537.5,3980532
2023-10-11,541.0,545.0,534.0,538.0,538.0,1217631
2023-10-12,547.0,547.0,526.5,526.5,526.5,1850222
2023-10-13,529.0,542.5,520.0,521.5,521.5,1562184
2023-10-16,525.5,528.5,518.0,523.5,523.5,1136120
2023-10-17,523.5,537.5,522.5,532.5,532.5,4019770
2023-10-18,535.0,538.0,527.5,531.5,531.5,1592456
2023-10-19,538.0,538.0,527.5,528.0,528.0,1871217
2023-10-20,525.5,525.5,518.5,521.5,521.5,1260148
2023-10-23,522.5,525.5,515.0,518.5,518.5,1109745
