Date,Open,High,Low,Close,Adj Close,Volume
2023-03-13,344.0,353.79998779296875,344.0,344.0,316.98724365234375,11755
2023-03-14,353.6600036621094,353.6600036621094,353.6600036621094,352.0,324.35906982421875,544
2023-03-15,360.0,360.0,346.0,352.0,324.35906982421875,1945
2023-03-16,358.0,358.0,342.70001220703125,344.0,316.98724365234375,40058
2023-03-17,340.0,360.0,340.0,340.0,313.30133056640625,76954
2023-03-20,336.0,352.0,334.0,334.0,307.7724914550781,4502
2023-03-21,345.6000061035156,345.6000061035156,345.6000061035156,345.0,317.9087219238281,574
2023-03-22,336.0,346.6199951171875,335.0,345.0,317.9087219238281,384853
2023-03-23,338.0,343.44000244140625,330.0,330.0,304.08660888671875,52423
2023-03-24,352.0,354.0,352.0,352.0,324.35906982421875,842
2023-03-27,342.0,342.0,342.0,342.0,315.1443176269531,0
2023-03-28,330.0,342.0,330.0,330.0,304.08660888671875,3838
2023-03-29,330.0,354.0,330.0,332.0,305.9295654296875,213212
2023-03-30,336.0,354.0,336.0,336.0,309.6154479980469,2842
2023-03-31,337.8179931640625,345.8999938964844,337.8179931640625,345.0,317.9087219238281,5395
2023-04-03,330.0,354.0,330.0,342.0,315.1443176269531,3178
2023-04-04,338.6400146484375,338.6400146484375,338.6400146484375,347.0,319.7516784667969,100
2023-04-05,332.0,354.0,330.0,332.0,305.9295654296875,1453
2023-04-06,342.9599914550781,348.7200012207031,339.0719909667969,346.0,318.8302001953125,6630
2023-04-11,354.0,354.0,345.3999938964844,347.0,319.7516784667969,1632
2023-04-12,346.0,353.97601318359375,346.0,347.0,319.7516784667969,3144
2023-04-13,350.5,350.5,350.3599853515625,347.0,319.7516784667969,8576
2023-04-14,354.0,356.0,346.29998779296875,356.0,328.0449523925781,9008
2023-04-17,350.5,350.5,350.4859924316406,347.0,319.7516784667969,3450
2023-04-18,355.5199890136719,358.0,355.5199890136719,354.0,326.2019958496094,1842
2023-04-19,358.0,364.0,350.0,360.0,331.7308654785156,12505
2023-04-20,368.0,375.0,350.0,360.0,331.7308654785156,158889
2023-04-21,369.6000061035156,378.0,360.0,369.0,340.02410888671875,24691
2023-04-24,366.29998779296875,378.0,366.29998779296875,369.0,340.02410888671875,11039
2023-04-25,361.79998779296875,361.79998779296875,361.79998779296875,366.0,337.2596740722656,276
2023-04-26,366.0,370.0,366.0,368.0,339.1026306152344,7343
2023-04-27,368.3840026855469,368.3840026855469,368.3840026855469,368.0,339.1026306152344,135
2023-04-28,376.0,378.55999755859375,372.0,374.0,344.6314697265625,277021
2023-05-02,370.0,376.5,370.0,375.0,345.552978515625,5637
2023-05-03,368.0,380.0,368.0,368.0,339.1026306152344,2833
2023-05-04,368.0,374.6000061035156,368.0,368.0,339.1026306152344,673
2023-05-05,368.0,374.8800048828125,368.0,374.0,344.6314697265625,5312
2023-05-09,374.54998779296875,374.54998779296875,364.97601318359375,372.0,342.7885437011719,18712
2023-05-10,371.0400085449219,371.0400085449219,364.97601318359375,372.0,342.7885437011719,12332
2023-05-11,380.0,380.0,364.4800109863281,372.0,342.7885437011719,671410
2023-05-12,380.0,390.0,374.0,374.0,344.6314697265625,215683
2023-05-15,376.0,376.7959899902344,376.0,376.0,346.4744567871094,44988
2023-05-16,376.5,376.5,374.17999267578125,377.0,347.3959045410156,994
2023-05-17,377.0,380.0,374.1860046386719,377.0,347.3959045410156,5106
2023-05-18,376.0,376.8999938964844,375.0,375.0,345.552978515625,8635
2023-05-19,376.8900146484375,376.8900146484375,376.8900146484375,377.0,347.3959045410156,528
2023-05-22,376.8900146484375,376.8900146484375,376.8900146484375,377.0,347.3959045410156,2122
2023-05-23,374.0,377.0,374.0,374.0,344.6314697265625,8143
2023-05-24,374.0,376.0,374.0,374.0,344.6314697265625,1531
2023-05-25,374.0,378.0,364.0,366.0,337.2596740722656,18285
2023-05-26,366.0,378.0,358.0,378.0,348.3173522949219,106856
2023-05-30,378.0,380.0,370.0,380.0,350.16033935546875,316172
2023-05-31,376.0,378.79998779296875,376.0,378.0,348.3173522949219,727
2023-06-01,379.59600830078125,379.59600830078125,376.0,378.0,348.3173522949219,41
2023-06-02,380.0,380.0,378.7900085449219,380.0,350.16033935546875,19935
2023-06-05,374.0,378.0,374.0,377.0,347.3959045410156,5257
2023-06-06,379.0,379.0,379.0,377.0,347.3959045410156,1000
2023-06-07,378.7900085449219,378.7900085449219,375.0,375.0,345.552978515625,350
2023-06-08,380.0,398.2359924316406,377.0,393.0,362.1394958496094,157582
2023-06-09,400.0,410.0,390.0,392.0,361.218017578125,10533
2023-06-12,390.0,407.0,390.0,392.0,361.218017578125,25443
2023-06-13,406.0,406.0,386.8800048828125,406.0,374.1186828613281,2253
2023-06-14,406.0,428.0,402.0,408.0,375.96160888671875,283298
2023-06-15,420.0,423.3479919433594,411.6000061035156,418.0,385.1763916015625,55120
2023-06-16,418.0,418.0,408.3999938964844,410.0,377.8045654296875,52415
2023-06-19,410.0,410.0,408.0,410.0,377.8045654296875,263268
2023-06-20,408.0,422.9599914550781,408.0,418.0,385.1763916015625,9514
2023-06-21,416.0,426.0,410.0,419.0,386.09783935546875,55922
2023-06-22,410.0,422.0,400.02801513671875,404.0,386.09783935546875,9807
2023-06-23,402.0,412.0,402.0,406.0,388.00921630859375,9987
2023-06-26,402.0,422.0,400.0,400.0,382.27508544921875,22372
2023-06-27,400.0,408.0,398.0,400.0,382.27508544921875,12954
2023-06-28,396.0,398.0,396.0,396.0,378.45233154296875,861
2023-06-29,396.0,400.0,393.6000061035156,396.0,378.45233154296875,5607
2023-06-30,393.0,396.0,392.8999938964844,394.0,376.5409851074219,7173
2023-07-03,396.0,400.0,393.0799865722656,396.0,378.45233154296875,5324
2023-07-04,394.0,398.5,392.0,392.0,374.62957763671875,21386
2023-07-05,392.0,392.0,380.0,390.0,372.71820068359375,14486
2023-07-06,390.0,398.0,381.29998779296875,398.0,380.36370849609375,4084
2023-07-07,404.0,404.0,395.0,404.0,386.09783935546875,8998
2023-07-10,402.0,408.5199890136719,391.0,400.0,382.27508544921875,34532
2023-07-11,405.1719970703125,408.0,387.0,394.0,376.5409851074219,7691
2023-07-12,398.0,403.739990234375,387.4519958496094,397.0,379.40802001953125,22121
2023-07-13,400.0,405.0710144042969,397.5,398.0,380.36370849609375,30632
2023-07-14,392.2139892578125,408.0,392.2139892578125,398.0,380.36370849609375,35521
2023-07-17,398.0,402.0,397.0710144042969,397.0,379.40802001953125,31651
2023-07-18,400.0,401.2139892578125,398.0,400.0,382.27508544921875,24213
2023-07-19,398.0,402.0,398.0,397.0,379.40802001953125,34182
2023-07-20,386.42401123046875,393.20001220703125,383.0,390.0,385.8487243652344,1539306
2023-07-21,400.0,400.0,384.0,388.0,383.8699951171875,54812
2023-07-24,396.0,400.0,386.0,386.0,381.89129638671875,37650
2023-07-25,390.0,393.0,389.5140075683594,390.0,385.8487243652344,57092
2023-07-26,390.0,391.1099853515625,387.0,390.0,385.8487243652344,17292
2023-07-27,390.0,394.0,390.0,390.0,385.8487243652344,94532
2023-07-28,392.0,392.0,391.4800109863281,390.0,385.8487243652344,3973
2023-07-31,382.0,400.0,382.0,400.0,395.7422790527344,14666
2023-08-01,390.0,400.0,380.0,400.0,395.7422790527344,20389
2023-08-02,402.0,402.0,386.20001220703125,402.0,397.7209777832031,7271
2023-08-03,400.0,410.0,386.20001220703125,410.0,405.6358337402344,5637
2023-08-04,410.0,412.0,396.4200134277344,412.0,407.6145324707031,21247
2023-08-07,410.0,410.0,392.0,410.0,405.6358337402344,78627
2023-08-08,400.0,410.0,392.0,401.0,396.73162841796875,9266
2023-08-09,410.0,410.0,397.5360107421875,410.0,405.6358337402344,7322
2023-08-10,410.0,410.0,406.4639892578125,410.0,405.6358337402344,14471
2023-08-11,410.0,418.0,396.0,407.0,402.6677551269531,28420
2023-08-14,410.0,418.0,399.5,400.0,395.7422790527344,9944
2023-08-15,420.0,428.0,392.260009765625,398.0,393.7635498046875,143522
2023-08-16,400.0,401.0,399.0,400.0,395.7422790527344,6101
2023-08-17,408.0,408.0,394.0,400.0,395.7422790527344,22576
2023-08-18,394.0,400.0,392.0039978027344,396.0,391.78485107421875,30870
2023-08-21,394.0,418.0,392.0,392.0,387.8274230957031,11252
2023-08-22,390.0,397.1499938964844,390.0,390.0,385.8487243652344,2734
2023-08-23,390.0,408.0,370.5880126953125,385.0,380.9019470214844,7780
2023-08-24,380.0,400.0,378.0,378.0,373.9764404296875,2578
2023-08-25,386.0,388.0,370.0,370.0,366.0616149902344,15803
2023-08-29,360.0,388.0,347.1000061035156,349.0,345.2851257324219,188195
2023-08-30,356.0,358.0,348.0,349.0,345.2851257324219,8236
2023-08-31,352.0,352.0,348.8840026855469,349.0,345.2851257324219,14555
2023-09-01,344.0,350.0,336.6000061035156,342.0,338.3596496582031,28071
2023-09-04,350.0,358.0,334.0,339.0,335.3915710449219,34022
2023-09-05,348.0,350.0,340.0,344.0,340.3383483886719,180321
2023-09-06,342.0,350.0,338.7200012207031,338.0,334.4022216796875,30686
2023-09-07,345.3800048828125,346.0400085449219,344.3999938964844,344.0,340.3383483886719,1117
2023-09-08,340.0,344.9599914550781,338.0,340.0,336.38092041015625,40686
2023-09-11,336.0,343.760009765625,334.0,335.0,331.43414306640625,15300
2023-09-12,336.0,348.0,324.0,335.0,331.43414306640625,21090
2023-09-13,335.3940124511719,335.73199462890625,332.8999938964844,335.0,331.43414306640625,3759
2023-09-14,336.0,340.0,330.0,335.0,331.43414306640625,24216
2023-09-15,338.0,348.0,337.0,341.0,337.37030029296875,2259
2023-09-18,340.0,340.0,331.79998779296875,336.0,332.42352294921875,6094
2023-09-19,336.0,348.0,334.64898681640625,337.0,333.4128723144531,6160
2023-09-20,335.0,338.0,331.0,333.0,329.4554443359375,7348
2023-09-21,334.0,348.0,331.0,339.0,335.3915710449219,9949
2023-09-22,338.0,348.0,335.1000061035156,333.0,329.4554443359375,9077
