Date,Open,High,Low,Close,Adj Close,Volume
2023-03-13,4475.0,4475.0,4361.0,4372.0,4207.44775390625,171206
2023-03-14,4372.0,4411.0,4312.0,4372.0,4207.44775390625,191534
2023-03-15,4379.0,4393.0,4230.0,4232.0,4072.717041015625,267598
2023-03-16,4285.0,4316.0,4221.0,4288.0,4126.609375,363506
2023-03-17,4303.0,4341.0,4256.0,4290.0,4128.5341796875,788633
2023-03-20,4259.0,4295.0,4190.0,4279.0,4117.9482421875,199157
2023-03-21,4322.0,4377.0,4296.0,4354.0,4190.12548828125,241680
2023-03-22,4353.0,4387.0,4319.0,4364.0,4199.7490234375,189600
2023-03-23,4360.0,4379.13623046875,4319.0,4358.0,4193.974609375,170962
2023-03-24,4337.0,4337.0,4265.0,4291.0,4129.49658203125,387307
2023-03-27,4337.0,4385.0,4310.0,4343.0,4179.5390625,228849
2023-03-28,4326.0,4422.0,4326.0,4392.0,4226.6953125,258960
2023-03-29,4392.0,4502.0,4390.0,4502.0,4332.5546875,306307
2023-03-30,4518.0,4620.0,4518.0,4620.0,4446.11376953125,247897
2023-03-31,4614.0,4745.0,4607.0,4718.0,4540.42529296875,337235
2023-04-03,4706.0,4722.0,4675.0,4721.0,4543.3125,397266
2023-04-04,4750.0,4774.0,4691.0,4691.0,4514.44140625,376512
2023-04-05,4691.0,4691.0,4600.0,4601.0,4427.82861328125,177511
2023-04-06,4618.0,4690.0,4597.0,4690.0,4513.47900390625,273792
2023-04-11,4699.0,4738.0,4683.0,4696.0,4519.25341796875,233253
2023-04-12,4691.0,4877.0,4673.0,4875.0,4691.51611328125,289741
2023-04-13,4881.0,4900.0,4835.0,4900.0,4715.57470703125,260589
2023-04-14,4912.0,4957.05810546875,4912.0,4920.0,4734.822265625,193051
2023-04-17,4940.0,4960.0,4864.0,4876.0,4692.478515625,445122
2023-04-18,4890.0,4896.0,4850.0,4859.0,4676.1181640625,263944
2023-04-19,4830.0,4860.0,4796.0,4812.0,4630.88720703125,202897
2023-04-20,4822.0,4855.0,4798.0,4806.0,4625.11328125,240875
2023-04-21,4810.0,4825.0,4789.0,4815.0,4633.7744140625,277467
2023-04-24,4837.0,4855.0,4812.0,4833.0,4651.09716796875,339023
2023-04-25,4812.0,4872.0,4794.0,4856.0,4673.2314453125,179204
2023-04-26,4845.0,4874.0,4823.0,4865.0,4681.892578125,218595
2023-04-27,4868.0,4902.0,4847.0,4876.0,4692.478515625,231586
2023-04-28,4900.0,4944.0,4856.0,4944.0,4757.9189453125,270986
2023-05-02,4935.0,4949.0,4820.0,4820.0,4638.58642578125,349831
2023-05-03,4869.0,4882.0,4849.0,4850.0,4667.45703125,182065
2023-05-04,4853.0,4853.0,4766.0,4766.0,4586.61865234375,185427
2023-05-05,4801.0,4872.0,4748.0,4865.0,4681.892578125,179974
2023-05-09,4674.0,4812.0,4658.0,4714.0,4536.57568359375,296813
2023-05-10,4728.0,4787.0,4720.0,4775.0,4595.27978515625,212197
2023-05-11,4789.0,4805.0,4670.0,4742.0,4563.52197265625,201932
2023-05-12,4764.0,4788.0,4716.8408203125,4719.0,4541.3876953125,206286
2023-05-15,4742.0,4752.0,4654.0,4654.0,4478.833984375,415791
2023-05-16,4616.0,4793.0,4588.0,4785.0,4604.9033203125,341650
2023-05-17,4819.0,4872.0,4756.0,4858.0,4675.15576171875,247542
2023-05-18,4907.0,4990.0,4888.0,4990.0,4802.1875,226146
2023-05-19,5002.0,5016.0,4956.0,4976.0,4788.71435546875,327126
2023-05-22,4990.0,5022.0,4952.0,5022.0,4832.9833984375,230048
2023-05-23,5016.0,5038.0,4988.0,5024.0,4834.908203125,334587
2023-05-24,4944.0,4969.0,4829.0,4868.0,4684.779296875,215676
2023-05-25,4764.0,4764.0,4659.0,4683.0,4627.63330078125,206178
2023-05-26,4719.0,4719.0,4641.0,4710.0,4654.31396484375,244467
2023-05-30,4709.0,4725.0,4666.0,4666.0,4610.833984375,118426
2023-05-31,4671.0,4671.0,4567.0,4597.0,4542.64990234375,604870
2023-06-01,4575.0,4644.0,4561.98486328125,4643.0,4588.10595703125,152095
2023-06-02,4672.0,4761.0,4660.0,4752.0,4695.8173828125,129665
2023-06-05,4784.0,4804.0,4718.0,4718.0,4662.21923828125,154679
2023-06-06,4703.0,4731.0,4675.0,4731.0,4675.06591796875,160675
2023-06-07,4743.0,4748.0,4679.0,4720.0,4664.19580078125,182617
2023-06-08,4709.0,4748.0,4707.0,4733.0,4677.0419921875,206286
2023-06-09,4740.0,4757.0,4676.0,4733.0,4677.0419921875,149641
2023-06-12,4771.0,4796.2529296875,4651.0,4680.0,4624.66845703125,140118
2023-06-13,4706.0,4730.0,4684.0,4716.0,4660.2431640625,256157
2023-06-14,4693.0,4701.0,4650.0,4665.0,4609.84619140625,174351
2023-06-15,4644.0,4706.0,4580.0,4637.0,4582.17724609375,294032
2023-06-16,4627.0,4643.0,4600.0,4600.0,4545.6142578125,779143
2023-06-19,4576.0,4626.0,4553.0,4555.0,4501.146484375,159529
2023-06-20,4565.0,4605.0,4532.0,4562.0,4508.06396484375,243208
2023-06-21,4570.0,4570.0,4506.0,4538.0,4484.34765625,146528
2023-06-22,4536.0,4536.0,4386.0,4429.0,4376.63623046875,244951
2023-06-23,4492.0,4492.0,4341.0,4352.0,4300.54638671875,221188
2023-06-26,4369.0,4395.0,4298.0,4364.0,4312.40478515625,128613
2023-06-27,4409.0,4456.0,4356.0,4379.0,4327.2275390625,94079
2023-06-28,4360.0,4416.0,4360.0,4392.0,4340.07373046875,160462
2023-06-29,4381.0,4420.0,4309.0,4309.0,4258.05517578125,344411
2023-06-30,4335.0,4438.0,4323.0,4398.0,4346.0029296875,493809
2023-07-03,4400.0,4452.0,4380.0,4411.0,4358.84912109375,145118
2023-07-04,4434.0,4434.0,4354.0,4371.0,4319.32177734375,130871
2023-07-05,4355.0,4355.0,4311.0,4320.0,4268.9248046875,234367
2023-07-06,4280.0,4288.98779296875,4186.0,4209.0,4159.2373046875,246941
2023-07-07,4200.0,4206.0,4153.0,4203.0,4153.30810546875,712692
2023-07-10,4184.0,4253.0,4145.0,4250.0,4199.75244140625,235987
2023-07-11,4260.0,4291.0,4243.0,4291.0,4240.267578125,231251
2023-07-12,4290.0,4371.0,4288.0,4340.0,4288.6884765625,240030
2023-07-13,4329.0,4353.0,4312.0,4346.0,4294.61767578125,182628
2023-07-14,4335.0,4394.0,4324.0,4374.0,4322.28662109375,241713
2023-07-17,4343.0,4391.0,4326.0,4372.0,4320.31005859375,164362
2023-07-18,4366.0,4452.0,4360.0,4452.0,4399.3642578125,246738
2023-07-19,4472.0,4594.0,4472.0,4573.0,4518.93359375,304588
2023-07-20,4599.0,4643.0,4570.0,4638.0,4583.1650390625,325615
2023-07-21,4638.0,4651.0,4605.0,4618.0,4563.40185546875,548285
2023-07-24,4601.0,4623.0,4556.0,4556.0,4502.134765625,363564
2023-07-25,4551.0,4606.0,4535.0,4567.0,4513.00439453125,278236
2023-07-26,4562.0,4577.0,4523.0,4573.0,4518.93359375,280752
2023-07-27,4600.0,4664.0,4577.0,4612.0,4557.47265625,133991
2023-07-28,4594.0,4631.0,4504.0,4539.0,4485.33544921875,122302
2023-07-31,4500.0,4524.0,4491.0,4511.0,4457.66650390625,255710
2023-08-01,4500.0,4524.0,4450.0,4476.0,4423.08056640625,118251
2023-08-02,4388.0,4442.0,4364.0,4442.0,4389.482421875,187819
2023-08-03,4421.0,4444.0,4377.0,4419.0,4366.75439453125,125569
2023-08-04,4414.0,4439.0,4350.0,4417.0,4364.7783203125,168877
2023-08-07,4416.0,4423.0,4374.0,4412.0,4359.83740234375,86282
2023-08-08,4324.0,4421.0,4324.0,4379.0,4327.2275390625,129276
2023-08-09,4420.0,4439.0,4398.0,4428.0,4375.64794921875,141714
2023-08-10,4447.0,4502.0,4425.0,4470.0,4417.1513671875,118355
2023-08-11,4470.0,4472.0,4423.0,4451.0,4398.3759765625,295982
2023-08-14,4439.0,4455.0,4421.0,4438.0,4385.52978515625,142215
2023-08-15,4425.0,4430.0,4387.0,4414.0,4361.8134765625,176854
2023-08-16,4445.0,4450.0,4390.0,4411.0,4358.84912109375,121824
2023-08-17,4429.0,4429.0,4329.0,4341.0,4289.6767578125,127263
2023-08-18,4311.0,4315.0,4220.0,4264.0,4213.5869140625,167535
2023-08-21,4244.0,4254.0,4193.0,4193.0,4143.42626953125,138148
2023-08-22,4203.0,4230.0,4171.0,4171.0,4121.6865234375,226888
2023-08-23,4182.0,4211.0,4171.0,4187.0,4137.49755859375,146718
2023-08-24,4228.0,4244.0,4194.0,4205.0,4155.28466796875,79591
2023-08-25,4216.0,4247.0,4191.0,4195.0,4145.40283203125,116168
2023-08-29,4250.0,4350.0,4239.0,4338.0,4286.7119140625,283120
2023-08-30,4336.0,4368.0,4331.0,4349.0,4297.58203125,120917
2023-08-31,4363.0,4377.0,4326.0,4327.0,4275.84228515625,612246
2023-09-01,4343.0,4354.0,4321.0,4322.0,4270.9013671875,122405
2023-09-04,4366.0,4366.0,4296.0,4296.0,4245.20849609375,176627
2023-09-05,4211.0,4298.0,4211.0,4265.0,4214.5751953125,186456
2023-09-06,4224.0,4310.0,4198.0,4289.0,4238.29150390625,177847
2023-09-07,4280.0,4391.0,4261.97021484375,4382.0,4330.19189453125,183556
2023-09-08,4415.0,4415.0,4331.0,4384.0,4332.16845703125,144449
2023-09-11,4392.0,4471.80908203125,4392.0,4430.0,4377.62451171875,197481
2023-09-12,4440.0,4457.0,4415.0,4434.0,4381.5771484375,153960
2023-09-13,4409.0,4471.0,4409.0,4442.0,4389.482421875,173316
2023-09-14,4439.0,4550.0,4399.0,4537.0,4483.359375,222611
2023-09-15,4589.0,4641.0,4560.0,4641.0,4586.1298828125,906313
2023-09-18,4640.0,4648.0,4535.0,4535.0,4481.3828125,188019
2023-09-19,4544.0,4550.0,4512.0,4542.0,4488.30029296875,178934
2023-09-20,4549.0,4621.0,4547.0,4579.0,4524.86279296875,135086
2023-09-21,4555.0,4682.0,4555.0,4661.0,4605.89306640625,267141
2023-09-22,4654.0,4660.0,4610.0,4623.0,4568.3427734375,207994
2023-09-25,4623.0,4630.0,4535.0,4566.0,4512.0166015625,547830
2023-09-26,4549.0,4626.0,4522.0,4596.0,4541.66162109375,166067
2023-09-27,4596.0,4611.0,4532.0,4553.0,4499.169921875,166569
2023-09-28,4589.0,4603.0,4537.0,4597.0,4542.64990234375,173791
2023-09-29,4637.0,4647.0,4597.0,4609.0,4554.50830078125,179707
2023-10-02,4630.0,4642.0,4488.0,4510.0,4456.6787109375,247354
2023-10-03,4491.0,4548.0,4481.0,4499.0,4445.80859375,190780
2023-10-04,4468.0,4514.0,4458.0,4474.0,4421.10400390625,235348
2023-10-05,4479.0,4519.0,4471.0,4471.0,4418.1396484375,125452
2023-10-06,4490.0,4532.0,4462.0,4530.0,4476.44189453125,106005
2023-10-09,4530.0,4554.0,4467.0,4553.0,4499.169921875,153226
2023-10-10,4575.0,4657.0,4575.0,4657.0,4601.9404296875,167809
2023-10-11,4648.0,4665.0,4630.0,4636.0,4581.18896484375,120949
2023-10-12,4661.0,4686.0,4639.0,4665.0,4609.84619140625,177160
2023-10-13,4651.0,4662.0,4592.0,4609.0,4554.50830078125,111303
2023-10-16,4656.0,4656.0,4607.0,4622.0,4567.3544921875,104057
2023-10-17,4612.0,4662.0,4604.0,4656.0,4600.95263671875,319746
2023-10-18,4660.0,4680.0,4566.0,4582.0,4527.8271484375,158154
2023-10-19,4583.0,4583.0,4527.0,4527.0,4473.4775390625,95153
2023-10-20,4501.0,4512.0,4380.0,4426.0,4373.671875,226559
2023-10-23,4420.0,4456.0,4384.0,4446.0,4393.43505859375,196547
2023-10-24,4446.0,4465.0,4426.0,4432.0,4379.6005859375,141490
2023-10-25,4418.0,4460.0,4370.0,4426.0,4373.671875,106222
2023-10-26,4401.0,4447.0,4230.0,4416.0,4363.7900390625,99655
2023-10-27,4438.0,4472.0,4393.0,4428.0,4375.64794921875,115091
2023-10-30,4448.0,4520.0,4427.0,4513.0,4459.64306640625,139315
2023-10-31,4527.0,4616.0,4480.0,4565.0,4511.0283203125,221246
2023-11-01,4570.0,4646.0,4480.0,4607.0,4552.53173828125,107676
2023-11-02,4640.0,4704.0,4635.72119140625,4662.0,4606.88134765625,165743
2023-11-03,4662.0,4689.0,4645.0,4653.0,4597.98779296875,228390
2023-11-06,4653.0,4674.0,4567.0,4568.0,4513.99267578125,254352
2023-11-07,4567.0,4616.0,4557.0,4589.0,4534.74462890625,149784
2023-11-08,4559.0,4610.0,4531.0,4583.0,4528.8154296875,587119
2023-11-09,4575.0,4670.0,4559.0,4670.0,4614.787109375,160347
2023-11-10,4680.0,4687.0,4577.0,4603.0,4548.5791015625,166478
2023-11-13,4622.0,4678.0,4599.0,4666.0,4610.833984375,408132
2023-11-14,4670.0,5252.0,4670.0,5248.0,5185.953125,705997
2023-11-15,5252.0,5292.0,5188.0,5236.0,5174.09521484375,321494
2023-11-16,5218.0,5226.0,4988.0,5168.0,5106.89892578125,291267
2023-11-17,5194.0,5362.0,5194.0,5348.0,5284.77099609375,367007
2023-11-20,5338.0,5388.0,5222.0,5272.0,5209.66943359375,242136
2023-11-21,5268.0,5348.0,5222.0,5318.0,5255.12548828125,249274
2023-11-22,5334.0,5400.0,5300.0,5332.0,5268.9599609375,156765
2023-11-23,5280.0,5368.0,5230.0,5294.0,5294.0,249421
