Date,Open,High,Low,Close,Adj Close,Volume
2023-03-13,357.5,366.1400146484375,345.0,358.5,358.5,32989
2023-03-14,360.0,366.5,331.5,331.5,331.5,108118
2023-03-15,325.5,339.5,304.0,325.5,325.5,82386
2023-03-16,320.0,327.0,315.0,322.5,322.5,148816
2023-03-17,320.0,327.5,314.9200134277344,317.0,317.0,55852
2023-03-20,309.5,322.0,292.5,305.5,305.5,89737
2023-03-21,300.5,309.0,283.8739929199219,297.0,297.0,200104
2023-03-22,303.0,322.5,298.57501220703125,318.5,318.5,51738
2023-03-23,322.0,326.5,312.0,313.0,313.0,39367
2023-03-24,280.0,295.0,280.0,294.5,294.5,176943
2023-03-27,297.0,297.0,285.5,290.0,290.0,48473
2023-03-28,294.5,298.0,288.5,288.5,288.5,87259
2023-03-29,291.0,297.6300048828125,287.31500244140625,293.0,293.0,31596
2023-03-30,290.0,294.1400146484375,286.0,290.0,290.0,25264
2023-03-31,285.0,298.0,285.0,290.0,290.0,43476
2023-04-03,285.0,306.0,283.4700012207031,301.0,301.0,16724
2023-04-04,295.0,304.8999938964844,293.5,298.25,298.25,18208
2023-04-05,307.5,307.5,297.5,303.0,303.0,556
2023-04-06,297.0,301.75,291.0,300.0,300.0,37622
2023-04-11,300.0,300.95001220703125,293.0,293.0,293.0,46752
2023-04-12,293.0,296.45001220703125,283.0,289.0,289.0,18811
2023-04-13,291.5,293.5,284.5,293.0,293.0,52762
2023-04-14,291.5,294.0,284.5,289.0,289.0,124754
2023-04-17,293.0,293.0799865722656,280.8089904785156,286.0,286.0,65549
2023-04-18,283.5,288.0,280.17999267578125,282.5,282.5,10169
2023-04-19,280.0,285.2300109863281,276.0,279.5,279.5,34059
2023-04-20,282.0,286.5,275.5,277.0,277.0,31240
2023-04-21,276.5,282.5,275.0,282.5,282.5,49005
2023-04-24,282.5,282.5,274.2300109863281,282.0,282.0,31312
2023-04-25,284.0,284.0,277.5,281.5,281.5,112654
2023-04-26,288.0,311.0,288.0,311.0,311.0,330325
2023-04-27,310.0,326.5,301.5,320.0,320.0,96700
2023-04-28,317.5,329.2300109863281,316.0,325.0,325.0,97233
2023-05-02,333.5,347.0,323.6000061035156,347.0,347.0,134040
2023-05-03,344.0,346.0,330.5,344.0,344.0,106737
2023-05-04,340.5,346.0,331.0,344.0,344.0,30115
2023-05-05,341.0,350.0,337.5,344.0,344.0,45447
2023-05-09,350.0,352.0,340.0,350.0,350.0,33485
2023-05-10,352.0,353.0,344.5,350.0,350.0,17794
2023-05-11,351.0,352.0,349.239990234375,350.5,350.5,35141
2023-05-12,344.0,359.9200134277344,344.0,358.0,358.0,68219
2023-05-15,360.0,380.0,357.0,380.0,380.0,58318
2023-05-16,368.0,379.0,368.0,378.0,378.0,14530
2023-05-17,370.5,378.5,370.0,370.0,370.0,28112
2023-05-18,368.0,377.5,365.6400146484375,369.5,369.5,15800
2023-05-19,370.0,377.5,370.0,370.0,370.0,6112
2023-05-22,370.0,379.5,368.5,370.0,370.0,17776
2023-05-23,370.0,381.0,366.0,375.5,375.5,46517
2023-05-24,374.5,379.1000061035156,367.0,367.0,367.0,27310
2023-05-25,370.0,379.0299987792969,370.0,374.5,374.5,10773
2023-05-26,373.0,378.0,369.5,370.5,370.5,11253
2023-05-30,368.5,372.0,368.0,368.0,368.0,13224
2023-05-31,357.0,375.5,350.0,367.0,367.0,38885
2023-06-01,368.0,373.5,368.0,370.0,370.0,17424
2023-06-02,364.0,379.0,364.0,377.0,377.0,22098
2023-06-05,374.5,379.25,374.0,378.0,378.0,25674
2023-06-06,376.0,380.0,376.0,378.0,378.0,30049
2023-06-07,381.0,399.0,381.0,390.0,390.0,74319
2023-06-08,392.5,399.5,388.5,394.0,394.0,40308
2023-06-09,395.5,401.0,393.75,401.0,401.0,25710
2023-06-12,400.0,403.4949951171875,399.3940124511719,401.0,401.0,107543
2023-06-13,399.5,403.7799987792969,399.0,401.0,401.0,24298
2023-06-14,401.0,412.0,401.0,412.0,412.0,101712
2023-06-15,415.0,427.5,413.5,425.0,425.0,115867
2023-06-16,425.5,427.0,422.0,425.0,425.0,62093
2023-06-19,421.0,426.0,421.0,425.0,425.0,71324
2023-06-20,425.0,427.5,415.0,415.0,415.0,316779
2023-06-21,415.0,420.5,391.67999267578125,401.0,401.0,220809
2023-06-22,403.5,403.5,396.5,398.0,398.0,232578
2023-06-23,400.0,404.0,393.5,401.5,401.5,4443
2023-06-26,401.5,416.5,400.5,401.5,401.5,12760
2023-06-27,400.5,404.0,392.1419982910156,401.0,401.0,20499
2023-06-28,399.5,404.5,389.9800109863281,402.0,402.0,3663
2023-06-29,397.0,404.0,388.1600036621094,403.0,403.0,29486
2023-06-30,403.0,404.8800048828125,401.0,401.0,401.0,15713
2023-07-03,395.5,403.5,395.5,400.0,400.0,20670
2023-07-04,400.5,403.5,393.0,400.0,400.0,623007
2023-07-05,400.5,406.5,400.0,406.5,406.5,20328
2023-07-06,402.5,406.5,395.0,400.5,400.5,54646
2023-07-07,396.0,405.0,396.0,396.0,396.0,9788
2023-07-10,395.0,404.5299987792969,395.0,395.0,395.0,16478
2023-07-11,395.0,399.5,394.5,398.0,398.0,14210
2023-07-12,390.0,413.0,389.8190002441406,406.5,406.5,29135
2023-07-13,403.5,410.0,397.9750061035156,403.5,403.5,10555
2023-07-14,400.5,402.5,396.6000061035156,400.5,400.5,4717
2023-07-17,402.0,404.0979919433594,395.5,402.0,402.0,29576
2023-07-18,399.0,401.5,396.5780029296875,399.0,399.0,63408
2023-07-19,401.5,403.5,399.0,399.0,399.0,10809
2023-07-20,403.5,408.5,400.0,400.5,400.5,23555
2023-07-21,398.0,402.0,398.0,402.0,402.0,27876
2023-07-24,399.0,400.5,399.0,400.5,400.5,11159
2023-07-25,405.0,405.0,393.70001220703125,405.0,405.0,15116
2023-07-26,408.0,408.0,394.0,408.0,408.0,6891
2023-07-27,405.5,406.0,401.0,401.0,401.0,15562
2023-07-28,397.5,400.5,384.5,397.5,397.5,44981
2023-07-31,398.0,407.5,398.0,406.0,406.0,28744
2023-08-01,401.0,412.0,401.0,412.0,412.0,49767
2023-08-02,402.0,408.0,387.70001220703125,402.0,402.0,23404
2023-08-03,398.0,406.7749938964844,398.0,406.0,406.0,52472
2023-08-04,406.0,406.0,400.5,401.0,401.0,27812
2023-08-07,400.0,406.0,400.0,402.5,402.5,19564
2023-08-08,400.0,401.0,400.0,400.0,400.0,2867
2023-08-09,400.0,410.0,400.0,401.0,401.0,22957
2023-08-10,401.7250061035156,407.4179992675781,400.0,405.75,405.75,6407
2023-08-11,401.0,410.5,401.0,401.0,401.0,8046
2023-08-14,401.5,411.5,393.0,398.0,398.0,129779
2023-08-15,390.0,404.0,386.0,386.0,386.0,222661
2023-08-16,380.5,395.5,366.1000061035156,369.0,369.0,35268
2023-08-17,362.0,375.36700439453125,359.3599853515625,365.75,365.75,23345
2023-08-18,356.5,372.67999267578125,344.8080139160156,348.0,348.0,16537
2023-08-21,345.0,358.5,343.3699951171875,348.0,348.0,58085
2023-08-22,359.0,360.5,344.8299865722656,346.0,346.0,3784
2023-08-23,340.0,360.5,340.0,340.0,340.0,15339
2023-08-24,348.0,354.0,343.0,343.0,343.0,4362
2023-08-25,342.5,352.7900085449219,329.0,340.0,340.0,20503
2023-08-29,346.0,350.0,336.0,336.0,336.0,18788
2023-08-30,331.5,341.0450134277344,331.0,340.0,340.0,235216
2023-08-31,335.0,343.0,323.0199890136719,329.5,329.5,20276
2023-09-01,331.5,343.0,329.0,332.0,332.0,14920
2023-09-04,335.5,358.364990234375,334.2179870605469,343.0,343.0,44454
2023-09-05,339.5,352.364990234375,327.99700927734375,340.5,340.5,14116
2023-09-06,352.0,352.0,327.8999938964844,352.0,352.0,4645
2023-09-07,340.0,350.0,335.0,350.0,350.0,88952
2023-09-08,342.0,349.0,332.92999267578125,337.0,337.0,14537
2023-09-11,340.5,350.5,334.7139892578125,341.0,341.0,36537
2023-09-12,346.0,347.0,336.0,345.0,345.0,10040
2023-09-13,335.0,344.5,330.0,332.0,332.0,414548
2023-09-14,332.0,349.0,331.7980041503906,340.0,340.0,37863
2023-09-15,342.5,344.0,335.0,335.0,335.0,49594
2023-09-18,333.5,352.0,333.5,348.0,348.0,68212
2023-09-19,348.0,349.5,343.0,343.0,343.0,20349
2023-09-20,355.5,356.0,340.3919982910156,354.0,354.0,32543
2023-09-21,345.0,360.0,345.0,347.0,347.0,46982
2023-09-22,348.5,360.0,338.0,338.0,338.0,33660
2023-09-25,344.5,348.5,337.7829895019531,347.5,347.5,25242
2023-09-26,342.0,345.239990234375,342.0,342.0,342.0,10098
2023-09-27,335.0,346.6199951171875,333.5,337.0,337.0,24021
2023-09-28,333.0,339.0,314.0,326.5,326.5,41445
2023-09-29,328.0,334.5,324.0,328.0,328.0,113792
2023-10-02,330.0,334.5,319.0,330.0,330.0,77589
2023-10-03,330.5,338.0,330.0,330.0,330.0,20960
2023-10-04,330.5,334.0,324.5,329.75,329.75,53632
2023-10-05,325.5,334.0,322.5,322.5,322.5,68717
2023-10-06,335.5,335.5,323.0,323.0,323.0,1594
2023-10-09,320.5,334.5,320.5,320.5,320.5,7043
2023-10-10,322.0,331.5,321.7550048828125,328.0,328.0,16912
2023-10-11,327.5,335.5,323.0,323.0,323.0,48517
2023-10-12,330.0,336.5,321.0,330.0,330.0,39108
2023-10-13,321.5,330.0,302.385009765625,314.0,314.0,100391
2023-10-16,315.5,319.5,310.5,310.5,310.5,24102
2023-10-17,310.5,316.9939880371094,304.4549865722656,307.0,307.0,38535
2023-10-18,306.5,311.125,299.5,299.5,299.5,117225
2023-10-19,311.5,311.5,297.0,299.5,299.5,8821
2023-10-20,299.5,310.5,299.0,299.0,299.0,11623
2023-10-23,299.0,309.5,297.0,297.0,297.0,65773
2023-10-24,300.0,305.2250061035156,290.0,291.5,291.5,21120
2023-10-25,292.0,300.0,292.0,293.0,293.0,7362
2023-10-26,291.0,300.5,287.5,292.0,292.0,117080
2023-10-27,299.5,302.5,290.5010070800781,299.5,299.5,502
2023-10-30,294.0,302.5,291.0,301.5,301.5,5328
2023-10-31,294.0,300.5,294.0,297.0,297.0,119624
2023-11-01,292.0,303.0,292.0,299.5,299.5,2303
2023-11-02,292.0,300.0,287.510009765625,291.0,291.0,61136
2023-11-03,287.0,299.4549865722656,287.0,287.0,287.0,34116
2023-11-06,288.0,294.5,282.0,288.0,288.0,5544
2023-11-07,287.0,295.94500732421875,282.5,285.0,285.0,11962
2023-11-08,284.0,292.5,280.0,283.75,283.75,68561
2023-11-09,276.5,292.5,271.3800048828125,281.5,281.5,51496
2023-11-10,276.0,287.5,275.5,276.0,276.0,3502
2023-11-13,275.0,287.5,273.5,273.5,273.5,33173
2023-11-14,273.0,277.5,267.0,267.0,267.0,71525
2023-11-15,267.0,273.0,257.0,264.5,264.5,60912
2023-11-16,266.0,269.5,259.5,260.0,260.0,50327
2023-11-17,266.0,267.5,259.0,262.5,262.5,54791
2023-11-20,259.5,269.0,258.0,260.0,260.0,23300
2023-11-21,259.5,289.5,257.0,287.0,287.0,2081724
2023-11-22,287.0,312.5,278.0,305.0,305.0,198498
2023-11-23,300.0,308.0,299.625,308.0,308.0,9329
2023-11-24,304.0,307.4949951171875,297.5,306.5,306.5,38304
2023-11-27,304.0,307.5,300.0,306.0,306.0,14177
2023-11-28,304.0,307.5,295.0,298.0,298.0,87996
2023-11-29,296.0,300.0,290.5,293.5,293.5,22148
2023-11-30,290.0,299.5,285.0,285.0,285.0,65641
2023-12-01,286.0,292.5,279.0,283.5,283.5,129003
2023-12-04,285.0,290.135009765625,273.0,273.0,273.0,115821
2023-12-05,281.5,283.5,272.0,276.5,276.5,7792
2023-12-06,277.0,286.5,274.0,277.0,277.0,28911
2023-12-07,285.5,290.0,277.67999267578125,284.5,284.5,24730
2023-12-08,280.5,294.0,280.5,285.5,285.5,23638
2023-12-11,285.5,295.5,285.5,288.5,288.5,23849
2023-12-12,289.0,295.5,285.0,290.0,290.0,51377
2023-12-13,290.5,295.95001220703125,285.0,290.0,290.0,57306
2023-12-14,299.5,305.0,290.0,299.5,299.5,40981
2023-12-15,295.0,305.5,295.0,298.0,298.0,119619
2023-12-18,297.0,304.5,290.0,292.5,292.5,24309
2023-12-19,299.5,305.0,291.0,299.0,299.0,17907
2023-12-20,305.0,312.5,299.0,307.5,307.5,32787
2023-12-21,302.0,313.0,302.0,307.0,307.0,12911
2023-12-22,314.5,314.5,306.0,306.0,306.0,6484
2023-12-27,304.0,318.0,299.5,318.0,318.0,16284
2023-12-28,320.0,320.0,299.5,313.5,313.5,13176
2023-12-29,308.0,320.0,303.5,308.0,308.0,10381
2024-01-02,319.5,332.5,309.0,329.5,329.5,36132
2024-01-03,322.0,332.5,320.5,325.5,325.5,33666
2024-01-04,332.5,334.0,321.5799865722656,330.5,330.5,22865
2024-01-05,333.0,342.5,327.45001220703125,339.0,339.0,74862
2024-01-08,339.5,339.5,332.8399963378906,339.0,339.0,21344
2024-01-09,341.0,340.5,330.5,340.5,340.5,21073
2024-01-10,342.0,369.0,335.5,352.0,352.0,79170
2024-01-11,353.5,366.0,352.5,357.0,357.0,22028
2024-01-12,356.0,366.5,335.0,335.0,335.0,137266
2024-01-15,343.0,345.2650146484375,339.1059875488281,343.0,343.0,23301
2024-01-16,344.5,344.5,335.0,335.0,335.0,11069
2024-01-17,334.0,335.010986328125,322.5,327.0,327.0,38039
2024-01-18,323.0,334.0,322.5,325.0,325.0,27371
2024-01-19,326.5,333.5,326.5,326.5,326.5,26072
2024-01-22,322.5,332.510009765625,322.5,322.5,322.5,8944
2024-01-23,333.5,339.5,323.3800048828125,336.0,336.0,29050
2024-01-24,340.0,340.0,330.5,331.0,331.0,40459
2024-01-25,338.0,354.0,337.5,351.0,351.0,35474
2024-01-26,354.0,365.5,348.3949890136719,358.0,358.0,63282
2024-01-29,352.5,359.5,345.0,347.5,347.5,28881
2024-01-30,345.0,349.5,338.0,341.5,341.5,85376
2024-01-31,339.0,348.5,339.0,339.0,339.0,63886
2024-02-01,338.0,348.4949951171875,338.0,338.5,338.5,20115
2024-02-02,337.5,347.3450012207031,330.0,330.0,330.0,33597
2024-02-05,330.0,340.2349853515625,330.0,333.0,333.0,22252
2024-02-06,330.0,340.0,325.5,325.5,325.5,7564
2024-02-07,328.5,336.2950134277344,328.0,334.0,334.0,35560
2024-02-08,323.0,323.0,285.1000061035156,291.0,291.0,289032
2024-02-09,288.0,293.5,268.7099914550781,270.0,270.0,125914
2024-02-12,270.0,279.5,249.0,253.0,253.0,948750
2024-02-13,250.0,269.5,246.5,253.5,253.5,86319
2024-02-14,257.5,265.489990234375,252.5,252.5,252.5,58765
2024-02-15,253.0,257.0,253.0,254.0,254.0,22402
2024-02-16,260.0,269.04998779296875,260.0,268.5,268.5,50928
2024-02-19,269.5,269.5,258.5,265.5,265.5,27903
2024-02-20,259.5,269.5,259.5,265.0,265.0,2740
2024-02-21,269.5,269.5,260.0,262.0,262.0,32096
2024-02-22,260.5,269.5,260.0,265.0,265.0,8433
2024-02-23,263.5,269.5,260.0,264.0,264.0,73884
2024-02-26,268.0,268.0,260.0,260.0,260.0,32397
2024-02-27,261.0,264.29998779296875,259.0,259.0,259.0,58512
2024-02-28,261.0,262.82000732421875,254.50999450683594,259.5,259.5,32622
2024-02-29,256.5,259.5,253.5,256.5,256.5,76735
2024-03-01,261.5,261.5,254.0,260.0,260.0,71890
2024-03-04,258.5,265.0,258.0,258.0,258.0,27264
2024-03-05,260.5,269.5,260.0,260.0,260.0,320520
2024-03-06,261.5,261.5,254.29299926757812,258.0,258.0,12798
2024-03-07,260.5,269.0,253.40499877929688,261.5,261.5,20679
2024-03-08,263.0,264.5,258.3819885253906,263.0,263.0,24970
2024-03-11,265.0,269.5,256.5,259.0,259.0,10878
2024-03-12,252.5,264.5,252.5,260.0,260.0,49168
