Date,Open,High,Low,Close,Adj Close,Volume
2023-03-13,480.5,487.5,473.5299987792969,474.5,474.5,1329878
2023-03-14,477.5,478.0,453.7179870605469,458.5,458.5,152076
2023-03-15,458.5,458.5,448.0,452.0,452.0,140568
2023-03-16,450.0,455.0,449.0,450.0,450.0,43671
2023-03-17,451.0,457.5,435.5199890136719,439.5,439.5,378212
2023-03-20,435.5,443.0,435.0,440.0,440.0,86254
2023-03-21,439.0,441.0,431.5,431.5,431.5,241829
2023-03-22,440.0,461.5,440.0,460.5,460.5,1198583
2023-03-23,462.0,471.0,459.20001220703125,462.0,462.0,82493
2023-03-24,459.0,475.5,448.0,466.5,466.5,108818
2023-03-27,469.5,469.5,459.0,463.0,463.0,57845
2023-03-28,459.5,482.5,455.25,479.5,479.5,89391
2023-03-29,470.0,480.0,470.0,477.0,477.0,32991
2023-03-30,470.0,480.5,466.0,466.0,466.0,36859
2023-03-31,463.0,470.0,463.0,469.5,469.5,71778
2023-04-03,468.5,469.0,452.0,456.0,456.0,199816
2023-04-04,461.5,477.0,455.0,462.0,462.0,50052
2023-04-05,470.5,478.54998779296875,457.0,460.0,460.0,51286
2023-04-06,460.0,479.0,457.8800048828125,465.0,465.0,73996
2023-04-11,479.5,486.5,468.5,485.5,485.5,127615
2023-04-12,472.5,500.0,472.3299865722656,492.0,492.0,213844
2023-04-13,465.0,478.67999267578125,463.5,475.0,475.0,191199
2023-04-14,479.5,479.5,462.5,475.0,475.0,194875
2023-04-17,475.0,480.0,467.3399963378906,473.5,473.5,194017
2023-04-18,475.0,475.3500061035156,466.7099914550781,474.0,474.0,76434
2023-04-19,475.0,484.5,467.0,470.0,470.0,81835
2023-04-20,470.0,477.7900085449219,463.0,463.5,463.5,75393
2023-04-21,469.0,477.5,463.5,467.0,467.0,69106
2023-04-24,470.0,474.5,462.5,462.5,462.5,81411
2023-04-25,462.5,468.0,440.0,445.5,445.5,239802
2023-04-26,446.0,469.0,444.5,459.5,459.5,270959
2023-04-27,471.0,471.0,460.0,464.0,464.0,92435
2023-04-28,474.5,474.5,458.0,462.0,462.0,135878
2023-05-02,465.0,474.0,452.5,456.0,456.0,83355
2023-05-03,450.5,474.0,445.0,447.0,447.0,207247
2023-05-04,451.0,457.0,446.0,448.5,448.5,42686
2023-05-05,447.0,454.0,445.0,445.5,445.5,209424
2023-05-09,465.0,465.0,445.5,450.0,450.0,47936
2023-05-10,450.0,455.6029968261719,443.0,450.5,450.5,68289
2023-05-11,452.0,460.0,447.0,451.0,451.0,61940
2023-05-12,442.0,459.07000732421875,442.0,448.0,448.0,103975
2023-05-15,442.0,458.0,442.0,452.0,452.0,44246
2023-05-16,452.0,455.3940124511719,442.5,445.0,445.0,65117
2023-05-17,450.5,461.5,442.0,443.0,443.0,93454
2023-05-18,442.5,464.5,438.5299987792969,440.0,440.0,137406
2023-05-19,450.5,463.5,440.70001220703125,451.5,451.5,67541
2023-05-22,461.5,464.0,438.5,443.0,443.0,38903
2023-05-23,442.5,458.25,439.5,442.5,442.5,39054
2023-05-24,440.5,450.0,436.0,437.0,437.0,73273
2023-05-25,445.0,445.0,432.0,435.0,435.0,231650
2023-05-26,438.0,443.70001220703125,430.5,434.5,434.5,186897
2023-05-30,433.0,447.4859924316406,424.5,430.0,430.0,62296
2023-05-31,428.0,446.5,421.4800109863281,446.5,446.5,212129
2023-06-01,444.5,452.6499938964844,436.0,441.0,441.0,89370
2023-06-02,448.0,451.69500732421875,442.0,450.0,450.0,57108
2023-06-05,464.0,464.0,443.9209899902344,446.5,446.5,42328
2023-06-06,437.0,445.0,437.0,443.5,443.5,63351
2023-06-07,443.0,449.54998779296875,435.5,437.0,437.0,44760
2023-06-08,437.0,439.8500061035156,433.7720031738281,438.5,438.5,69307
2023-06-09,438.0,440.0,430.5,435.5,435.5,43007
2023-06-12,437.5,438.0,430.5,430.5,430.5,44424
2023-06-13,430.0,437.5,430.0,434.5,434.5,44283
2023-06-14,432.5,437.5,430.4700012207031,433.5,433.5,39325
2023-06-15,435.0,437.0,430.0,437.0,437.0,76203
2023-06-16,437.0,443.5,434.0,438.5,438.5,58493
2023-06-19,438.0,443.0,430.54998779296875,443.0,443.0,33931
2023-06-20,440.0,442.5,434.5,439.0,439.0,178952
2023-06-21,430.0,440.0,430.0,440.0,440.0,83860
2023-06-22,442.0,470.0,436.0,451.0,451.0,342215
2023-06-23,451.0,460.0,445.0,459.5,459.5,66692
2023-06-26,456.0,460.0,445.0,450.0,450.0,324580
2023-06-27,462.0,465.7699890136719,453.6600036621094,460.0,460.0,116610
2023-06-28,461.0,465.0,444.5,459.5,459.5,55951
2023-06-29,452.5,459.0,447.5,452.0,452.0,23985
2023-06-30,442.0,451.3500061035156,442.0,447.0,447.0,709111
2023-07-03,448.0,454.0559997558594,448.0,450.0,450.0,33119
2023-07-04,449.0,452.0,442.0,447.0,447.0,34806
2023-07-05,446.0,447.0,440.0,440.0,440.0,67483
2023-07-06,440.0,441.8999938964844,423.5,428.5,428.5,72359
2023-07-07,428.0,435.0,422.77301025390625,435.0,435.0,66655
2023-07-10,432.0,437.0,427.0,437.0,437.0,21711
2023-07-11,437.0,440.0,432.0,437.5,437.5,17768
2023-07-12,439.5,440.5,436.0,438.0,438.0,42125
2023-07-13,430.0,438.5,420.0,435.0,435.0,125929
2023-07-14,448.5,448.5,428.5,438.5,438.5,51715
2023-07-17,434.0,434.79998779296875,425.0,428.0,428.0,288898
2023-07-18,430.0,431.5,425.0,428.5,428.5,197041
2023-07-19,424.5,431.0,424.5,428.0,428.0,262725
2023-07-20,428.0,430.0,417.5,426.0,426.0,128758
2023-07-21,425.0,426.5,418.5,425.0,425.0,47782
2023-07-24,425.0,426.1300048828125,418.0299987792969,424.0,424.0,239044
2023-07-25,425.0,435.0,424.0,434.0,434.0,186088
2023-07-26,428.0,430.0,424.0,425.5,425.5,24050
2023-07-27,427.0,428.0,421.989990234375,423.5,423.5,21473
2023-07-28,424.5,427.0,421.1300048828125,425.5,425.5,72073
2023-07-31,425.0,426.5,420.5,423.5,423.5,67509
2023-08-01,427.0,429.5,423.0,423.5,423.5,81258
2023-08-02,423.0,423.5,416.0,416.5,416.5,38747
2023-08-03,418.5,418.5,410.5,412.0,412.0,17811
2023-08-04,414.5,419.260009765625,413.0,415.5,415.5,251063
2023-08-07,415.0,415.5,410.1820068359375,415.5,415.5,62687
2023-08-08,418.5,423.7170104980469,409.0,423.5,423.5,244188
2023-08-09,425.0,434.0,421.5,421.5,421.5,73023
2023-08-10,423.0,439.0,423.0,428.5,428.5,533675
2023-08-11,425.0,425.5,419.0,421.0,421.0,48636
2023-08-14,421.0,426.2869873046875,418.0,422.0,422.0,82821
2023-08-15,429.5,436.0,422.9179992675781,424.5,424.5,111717
2023-08-16,428.0,428.0,423.0,423.5,423.5,45069
2023-08-17,425.0,425.0,423.0,425.0,425.0,96589
2023-08-18,426.5,430.0,418.5,421.5,421.5,76638
2023-08-21,423.0,433.0,421.0,421.0,421.0,91924
2023-08-22,422.0,425.91900634765625,421.2200012207031,422.0,422.0,58755
2023-08-23,425.0,432.5,419.94000244140625,425.0,425.0,115703
2023-08-24,430.0,430.5,421.0,422.0,422.0,70451
2023-08-25,432.0,438.5,421.1809997558594,422.0,422.0,45234
2023-08-29,435.0,435.0,418.0,422.0,422.0,217690
2023-08-30,425.0,431.0,421.6570129394531,422.0,422.0,177047
2023-08-31,428.0,428.0,409.0,409.0,409.0,336665
2023-09-01,418.0,423.5,416.0,419.5,419.5,131929
2023-09-04,422.0,430.0,418.0,422.0,422.0,53827
2023-09-05,424.0,424.0,415.8999938964844,420.0,420.0,284321
2023-09-06,422.0,423.0,418.0,420.0,420.0,34178
2023-09-07,424.0,424.0,415.5,415.5,415.5,64535
2023-09-08,430.0,430.0,412.0,420.0,420.0,63708
2023-09-11,424.0,424.0,419.0,422.0,422.0,5790643
2023-09-12,422.0,438.5,422.0,434.0,434.0,225285
2023-09-13,440.0,445.5,436.3599853515625,442.0,442.0,152413
2023-09-14,439.0,444.5,425.5,434.0,434.0,51988
2023-09-15,434.0,435.0,421.9849853515625,432.5,432.5,75503
2023-09-18,432.0,432.0,423.5,432.0,432.0,80912
2023-09-19,430.0,437.0,425.0,426.5,426.5,78652
2023-09-20,427.5,437.0,425.5,427.0,427.0,65061
2023-09-21,422.5,429.9830017089844,412.0,413.0,413.0,84245
2023-09-22,410.0,429.5,410.0,410.0,410.0,15752
