Date,Open,High,Low,Close,Adj Close,Volume
2023-03-13,1070.0,1108.0,1035.0,1056.0,1056.0,314690
2023-03-14,1060.0,1112.0,1030.0,1098.0,1098.0,228673
2023-03-15,1128.0,1128.0,1036.0,1056.0,1056.0,215629
2023-03-16,1060.0,1086.0,1038.0,1062.0,1062.0,89014
2023-03-17,1066.0,1082.6800537109375,1016.0,1038.0,1038.0,200579
2023-03-20,1018.0,1046.0,981.0,1036.0,1036.0,156363
2023-03-21,1066.0,1078.0,1044.0,1078.0,1078.0,154153
2023-03-22,1078.0,1078.0,1047.1099853515625,1054.0,1054.0,139963
2023-03-23,1064.0,1082.8800048828125,1040.0,1062.0,1062.0,104770
2023-03-24,1060.0,1060.0,1025.260009765625,1044.0,1044.0,118205
2023-03-27,1044.0,1072.0,1028.0,1042.0,1042.0,312718
2023-03-28,1060.0,1088.0,1006.0,1020.0,1020.0,108496
2023-03-29,1028.0,1082.0,1000.0,1016.0,1016.0,136885
2023-03-30,1020.0,1026.0,1009.5,1022.0,1022.0,118746
2023-03-31,1026.0,1050.0,1007.2000122070312,1022.0,1022.0,68675
2023-04-03,1031.0,1088.0,1008.4390258789062,1018.0,1018.0,412231
2023-04-04,1020.0,1030.6400146484375,990.5,995.0,995.0,179662
2023-04-05,978.0,1021.0,941.1439819335938,945.5,945.5,143287
2023-04-06,940.0,973.5,940.0,965.0,965.0,112702
2023-04-11,966.5,993.0,957.0,957.0,957.0,86723
2023-04-12,964.0,973.0,942.0,971.0,971.0,125241
2023-04-13,986.0,1018.47998046875,943.5,965.0,965.0,121930
2023-04-14,970.0,1019.0,947.1099853515625,976.5,976.5,347209
2023-04-17,995.0,1018.0,957.5,962.5,962.5,116019
2023-04-18,963.0,968.0,931.5,934.5,934.5,174103
2023-04-19,933.0,945.5,846.6320190429688,870.0,870.0,930891
2023-04-20,870.0,889.0,836.5,840.5,840.5,426370
2023-04-21,845.0,858.5,829.5,841.0,841.0,528184
2023-04-24,881.0,881.0,831.5,831.5,831.5,317321
2023-04-25,831.5,842.5,823.4979858398438,832.0,832.0,197261
2023-04-26,830.0,835.0,813.0,824.5,824.5,222837
2023-04-27,826.0,850.0,818.0,850.0,850.0,522616
2023-04-28,872.5,872.5,845.0,860.0,860.0,272380
2023-05-02,870.0,884.5,858.0,861.0,861.0,190797
2023-05-03,867.0,892.5,859.5,866.0,866.0,152025
2023-05-04,880.0,880.0,790.0,801.5,801.5,581659
2023-05-05,829.5,831.5,805.0,808.0,808.0,236971
2023-05-09,810.5,817.5,783.0,794.5,794.5,294823
2023-05-10,829.5,829.5,784.0,799.5,799.5,223938
2023-05-11,783.0,827.5,780.5,786.5,786.5,292984
2023-05-12,780.5,798.0,775.5,775.5,775.5,260479
2023-05-15,788.0,793.5,776.0,790.5,790.5,1311039
2023-05-16,775.0,819.5,775.0,794.0,794.0,145194
2023-05-17,796.0,809.5,786.5,800.0,800.0,131964
2023-05-18,800.0,811.0,800.0,809.5,809.5,114446
2023-05-19,809.5,825.4949951171875,809.5,816.0,816.0,178963
2023-05-22,821.0,825.5,783.5,796.5,796.5,230937
2023-05-23,798.5,833.5,778.6690063476562,786.0,786.0,797196
2023-05-24,794.0,802.5,762.4450073242188,768.0,768.0,439733
2023-05-25,767.5,799.5,756.5,759.0,759.0,254332
2023-05-26,770.0,784.5,753.5,757.0,757.0,188239
2023-05-30,780.0,780.0,746.0,750.0,750.0,347685
2023-05-31,760.0,760.0,741.0,754.5,754.5,2208789
2023-06-01,770.0,800.0,761.0,787.5,787.5,212717
2023-06-02,800.5,801.5,785.0,801.5,801.5,285471
2023-06-05,802.0,817.5,797.3989868164062,798.5,798.5,136468
2023-06-06,788.5,819.5,788.5,808.5,808.5,199434
2023-06-07,815.0,818.5,792.5,798.0,798.0,90121
2023-06-08,800.0,810.6799926757812,774.0,787.0,787.0,141226
2023-06-09,788.0,788.0,776.5,785.5,785.5,166207
2023-06-12,785.0,790.5,780.0,786.5,786.5,227963
2023-06-13,787.5,819.5,770.0,791.5,791.5,646610
2023-06-14,792.5,812.0,770.5,812.0,812.0,146547
2023-06-15,807.5,814.64697265625,779.5,790.0,790.0,337406
2023-06-16,792.0,800.0,783.5,785.0,785.0,508980
2023-06-19,795.0,808.5,771.8350219726562,780.0,780.0,512470
2023-06-20,812.5,812.5,758.5,768.5,768.5,126480
2023-06-21,772.0,807.5,730.0,752.5,752.5,789312
2023-06-22,740.0,763.0,733.5,756.5,756.5,461358
2023-06-23,760.0,760.5,742.0,746.5,746.5,571301
2023-06-26,747.0,773.0,729.5029907226562,741.5,741.5,166361
2023-06-27,744.5,752.8699951171875,735.0,748.0,748.0,385905
2023-06-28,756.5,780.0,736.5,776.5,776.5,229758
2023-06-29,731.0,735.0,714.0,718.0,718.0,238981
2023-06-30,731.5,731.5,712.0,716.0,716.0,115744
2023-07-03,724.5,728.0,698.5,703.5,703.5,117116
2023-07-04,717.5,721.5,684.0,688.0,688.0,323907
2023-07-05,689.0,726.5,674.7670288085938,676.5,676.5,260008
2023-07-06,671.0,687.0250244140625,646.0,649.0,649.0,261530
2023-07-07,647.5,690.0,640.5,655.5,655.5,165368
2023-07-10,659.0,661.5,647.4879760742188,654.5,654.5,660072
2023-07-11,688.0,688.0,654.25,663.0,663.0,234741
2023-07-12,655.0,728.5,655.0,714.0,714.0,301125
2023-07-13,722.0,739.5,706.0,709.0,709.0,274625
2023-07-14,688.5,699.9600219726562,627.5,640.0,640.0,1021281
2023-07-17,635.0,657.4249877929688,625.5,643.0,643.0,200117
2023-07-18,650.0,662.0,641.5,660.0,660.0,167351
2023-07-19,671.0,691.5,670.969970703125,687.5,687.5,399111
2023-07-20,681.0,694.5,675.0,677.0,677.0,151016
2023-07-21,699.0,699.0,659.5,660.5,660.5,169883
2023-07-24,653.5,693.0,653.5,663.5,663.5,428543
2023-07-25,668.5,677.0,654.0,665.0,665.0,133608
2023-07-26,675.0,675.0,658.0,663.5,663.5,73861
2023-07-27,669.5,682.75,662.5,673.0,673.0,145253
2023-07-28,670.0,680.0989990234375,650.0,654.0,654.0,77306
2023-07-31,662.0,680.780029296875,637.5,646.0,646.0,831798
2023-08-01,645.5,649.5,628.458984375,638.0,638.0,222323
2023-08-02,625.0,642.5,619.9000244140625,636.5,636.5,159871
2023-08-03,626.0,644.5,625.5,627.0,627.0,177249
2023-08-04,618.0,640.8250122070312,618.0,637.0,637.0,374181
2023-08-07,642.5,643.5,626.5,628.0,628.0,311210
2023-08-08,627.5,635.0,613.5,614.0,614.0,542834
2023-08-09,620.0,624.0,616.5,620.0,620.0,673787
2023-08-10,625.0,661.0,617.5,652.0,652.0,1001149
2023-08-11,643.5,652.0,633.5,648.0,648.0,402487
2023-08-14,645.5,656.5,621.5,632.0,632.0,221172
2023-08-15,621.5,642.2999877929688,618.5,622.0,622.0,200250
2023-08-16,618.5,644.3300170898438,610.5,610.5,610.5,157564
2023-08-17,610.0,611.9869995117188,597.5,603.0,603.0,122853
2023-08-18,597.0,635.5,585.7000122070312,595.5,595.5,175487
2023-08-21,585.5,614.0,585.5,587.5,587.5,124132
2023-08-22,592.0,620.0,591.0,598.0,598.0,104109
2023-08-23,596.0,615.0,585.5,603.0,603.0,596575
2023-08-24,627.5,697.5,625.0,665.5,665.5,571464
2023-08-25,652.5,679.5,623.426025390625,658.0,658.0,284406
2023-08-29,690.0,690.0,663.4500122070312,666.5,666.5,351867
2023-08-30,665.5,675.5,660.0,660.0,660.0,308422
2023-08-31,679.0,679.0,653.0,659.0,659.0,276482
2023-09-01,667.0,667.0,651.2000122070312,653.0,653.0,145494
2023-09-04,655.0,665.5,639.0,646.0,646.0,197330
2023-09-05,637.0,651.0,635.5,640.0,640.0,165151
2023-09-06,637.0,641.5,623.0,627.0,627.0,168184
2023-09-07,630.0,630.5,610.5,614.0,614.0,183486
2023-09-08,626.0,627.1840209960938,613.3800048828125,618.5,618.5,168060
2023-09-11,620.0,657.0,617.0,621.0,621.0,209128
2023-09-12,620.5,629.0,609.3309936523438,610.0,610.0,203105
2023-09-13,620.5,648.5,594.0,617.0,617.0,208222
2023-09-14,620.0,630.0,608.0,629.0,629.0,356524
2023-09-15,633.0,649.0,613.5,613.5,613.5,566612
2023-09-18,610.5,642.5,599.2789916992188,604.5,604.5,967999
2023-09-19,606.0,627.0,600.0,606.5,606.5,162429
2023-09-20,612.0,619.0,606.2000122070312,615.0,615.0,280672
2023-09-21,602.0,621.0,602.0,607.5,607.5,245457
2023-09-22,605.0,612.6389770507812,604.0,607.5,607.5,239888
2023-09-25,603.5,611.8800048828125,602.0,605.5,605.5,298078
2023-09-26,600.0,606.0999755859375,596.0,599.5,599.5,265813
2023-09-27,602.0,606.6199951171875,591.5,591.5,591.5,120281
2023-09-28,590.0,593.0,576.5,590.0,590.0,227170
2023-09-29,603.5,618.5,597.5,607.0,607.0,396696
2023-10-02,615.0,615.0,585.5,586.0,586.0,225214
2023-10-03,584.0,597.0,556.0,557.5,557.5,256613
2023-10-04,548.0,569.5,541.5,564.5,564.5,205928
2023-10-05,566.5,584.0,563.5,573.5,573.5,131978
2023-10-06,578.0,584.5,568.0,582.0,582.0,174347
2023-10-09,560.0,579.0,560.0,572.5,572.5,102887
2023-10-10,576.0,587.0,572.0,587.0,587.0,853352
2023-10-11,567.5,599.5,560.5,584.5,584.5,364821
2023-10-12,594.5,594.5,573.0,578.0,578.0,254710
2023-10-13,573.0,595.5,557.0,560.0,560.0,481201
2023-10-16,560.0,594.0,558.125,572.0,572.0,232385
2023-10-17,575.0,578.5,540.5,551.5,551.5,886870
2023-10-18,540.0,563.5,530.5,553.0,553.0,920435
2023-10-19,545.0,575.0,545.0,559.5,559.5,276896
2023-10-20,550.5,567.0,550.0,562.0,562.0,144645
2023-10-23,557.0,572.0,550.5,569.5,569.5,159503
2023-10-24,569.0,576.5,555.125,567.0,567.0,183275
2023-10-25,568.5,571.8930053710938,547.5,554.0,554.0,379466
2023-10-26,553.0,558.9940185546875,548.0,551.5,551.5,2076814
2023-10-27,565.5,579.5,550.0,560.0,560.0,430986
2023-10-30,579.0,579.0,551.5,558.5,558.5,257153
2023-10-31,579.0,579.0,557.0,559.0,559.0,684580
2023-11-01,542.0,578.0,519.0,530.5,530.5,614285
2023-11-02,539.0,560.5,530.5,555.0,555.0,1626058
2023-11-03,565.0,591.0,560.0,586.5,586.5,393190
2023-11-06,586.5,589.0999755859375,562.0,564.5,564.5,194869
2023-11-07,550.5,567.8400268554688,546.0,556.5,556.5,159917
2023-11-08,533.5,556.0,530.5,550.5,550.5,593098
2023-11-09,545.5,569.0,538.7000122070312,569.0,569.0,126502
2023-11-10,560.0,567.5,547.0,553.0,553.0,124908
2023-11-13,559.5,563.5,548.0,560.0,560.0,151718
2023-11-14,563.0,618.5,557.0,600.0,600.0,573579
2023-11-15,610.0,632.0,596.0,602.5,602.5,609595
2023-11-16,623.5,624.5,572.0,575.5,575.5,342030
2023-11-17,575.0,614.5,575.0,606.5,606.5,326555
2023-11-20,600.5,614.0,595.0,604.0,604.0,229792
2023-11-21,602.0,612.0,584.0,588.5,588.5,391539
2023-11-22,587.0,598.5,579.0,590.0,590.0,470808
2023-11-23,571.5,576.5,565.0,567.0,567.0,282181
2023-11-24,566.5,568.0,555.5,556.0,556.0,268354
2023-11-27,555.0,580.0,544.0,550.0,550.0,322995
2023-11-28,545.0,559.5,540.0,550.0,550.0,126567
2023-11-29,550.0,579.5,550.0,560.0,560.0,241055
2023-11-30,560.0,579.5,536.5,536.5,536.5,353058
2023-12-01,532.0,543.5,528.47802734375,533.5,533.5,223359
2023-12-04,532.0,556.4600219726562,529.5,531.5,531.5,559012
2023-12-05,525.0,564.0,525.0,540.0,540.0,172037
2023-12-06,520.0,564.5,520.0,543.5,543.5,999805
2023-12-07,539.5,550.5,527.0,534.0,534.0,173886
2023-12-08,525.0,554.0,525.0,535.0,535.0,174966
2023-12-11,521.0,563.5,521.0,533.0,533.0,176939
2023-12-12,539.5,564.5,520.5,523.5,523.5,233752
2023-12-13,520.0,559.5,520.0,523.5,523.5,1442864
2023-12-14,531.0,573.0,531.0,565.0,565.0,786985
2023-12-15,568.0,580.0,556.0,564.5,564.5,1792633
2023-12-18,565.0,593.0,556.5,577.5,577.5,500032
2023-12-19,592.0,599.5,572.2999877929688,599.5,599.5,631001
2023-12-20,606.0,620.0,599.5,615.0,615.0,1669050
2023-12-21,613.5,621.0,607.5,615.0,615.0,1074437
2023-12-22,604.0,618.5,601.0,618.5,618.5,72733
2023-12-27,620.0,639.5,608.7750244140625,630.5,630.5,208902
2023-12-28,625.0,639.5,608.7750244140625,622.0,622.0,103121
2023-12-29,639.0,639.0,625.0,630.0,630.0,55354
2024-01-02,600.5,643.5,600.5,605.0,605.0,182917
2024-01-03,600.0,612.5,593.0,600.5,600.5,454328
2024-01-04,603.0,626.0,600.0,623.5,623.5,179719
2024-01-05,622.5,629.0,604.0,611.0,611.0,324002
2024-01-08,621.5,625.5,596.5,625.0,625.0,287701
2024-01-09,634.5,618.5780029296875,599.5,599.5,599.5,367574
2024-01-10,590.0,608.5,580.5,580.5,580.5,222541
2024-01-11,589.0,608.5,578.0,578.0,578.0,217763
2024-01-12,578.5,603.0,578.5,589.0,589.0,116458
2024-01-15,574.0700073242188,585.5,565.0,574.5,574.5,99749
2024-01-16,574.5,584.5,569.25,578.5,578.5,136012
2024-01-17,574.5,576.1599731445312,546.0,559.0,559.0,327509
2024-01-18,570.0,582.0,559.0,574.5,574.5,117695
2024-01-19,574.5,581.0,560.43798828125,570.0,570.0,171765
2024-01-22,576.5,590.0,566.0,568.5,568.5,181568
2024-01-23,577.0,588.5,570.0,571.5,571.5,187577
2024-01-24,575.0,585.0,573.5,584.0,584.0,104708
2024-01-25,584.0,588.5,571.5,587.0,587.0,104138
2024-01-26,587.5,606.5,585.0,604.0,604.0,175361
2024-01-29,599.0,614.5,590.5,612.0,612.0,152788
2024-01-30,612.5,612.5,598.0,609.5,609.5,191505
2024-01-31,615.0,628.0,607.5,626.0,626.0,273943
2024-02-01,626.0,634.5,617.0,617.0,617.0,203791
2024-02-02,619.5,638.5,618.0,623.5,623.5,125882
2024-02-05,631.0,639.5,614.0,618.0,618.0,140659
2024-02-06,623.0,634.0,608.5,625.0,625.0,444985
2024-02-07,625.0,625.0,603.5560302734375,605.0,605.0,155819
2024-02-08,606.5,630.0,606.5,611.0,611.0,111886
2024-02-09,622.5,622.5,607.5,607.5,607.5,92326
2024-02-12,609.0,630.0999755859375,609.0,625.5,625.5,217716
2024-02-13,628.5,636.5,613.5369873046875,617.0,617.0,634532
2024-02-14,626.0,627.0,616.0,617.5,617.5,77612
2024-02-15,640.0,654.5,620.0,647.0,647.0,256294
2024-02-16,645.0,671.5,641.4600219726562,667.0,667.0,314405
2024-02-19,674.0,674.0,648.0,656.0,656.0,75460
2024-02-20,658.0,672.5,646.0,651.5,651.5,96830
2024-02-21,651.5,659.0850219726562,640.9030151367188,648.0,648.0,84750
2024-02-22,651.5,673.0,644.5,655.5,655.5,96571
2024-02-23,657.5,662.0,651.0,660.5,660.5,260419
2024-02-26,661.0,667.0,645.6370239257812,654.5,654.5,97223
2024-02-27,661.5,661.5,629.75,637.5,637.5,332913
2024-02-28,640.0,651.5,627.3889770507812,647.0,647.0,286280
2024-02-29,650.0,655.5,640.0,640.0,640.0,297796
2024-03-01,652.5,669.5,634.780029296875,645.0,645.0,169205
2024-03-04,630.0,660.7999877929688,630.0,644.0,644.0,146936
2024-03-05,640.5,661.5,636.0,658.5,658.5,162195
2024-03-06,674.0,693.5,656.0,683.0,683.0,183453
2024-03-07,670.0,696.5,670.0,690.5,690.5,238669
2024-03-08,690.5,699.5,677.0,681.0,681.0,193366
2024-03-11,681.0,691.5,673.0,684.0,684.0,234945
2024-03-12,691.0,712.5150146484375,686.0,695.0,695.0,344776
2024-03-13,697.5,701.5,667.5,672.5485229492188,672.5485229492188,49853
