Date,Open,High,Low,Close,Adj Close,Volume
2023-03-13,19.0,19.0,19.0,19.0,19.0,0
2023-03-14,19.0,19.0,19.0,19.0,19.0,0
2023-03-15,19.0,19.0,19.0,19.0,19.0,0
2023-03-16,19.0,19.0,19.0,19.0,19.0,0
2023-03-17,19.0,19.0,19.0,19.0,19.0,0
2023-03-20,19.0,19.0,19.0,19.0,19.0,0
2023-03-21,19.0,19.0,19.0,19.0,19.0,0
2023-03-22,19.0,19.0,19.0,19.0,19.0,0
2023-03-23,19.0,19.0,19.0,19.0,19.0,0
2023-03-24,19.0,19.0,19.0,19.0,19.0,0
2023-03-27,19.0,19.0,19.0,19.0,19.0,0
2023-03-28,19.0,19.0,19.0,19.0,19.0,0
2023-03-29,19.0,19.0,19.0,19.0,19.0,0
2023-03-30,19.0,19.0,19.0,19.0,19.0,0
2023-03-31,19.0,19.0,19.0,19.0,19.0,0
2023-04-03,19.0,19.0,19.0,19.0,19.0,0
2023-04-04,19.0,19.0,19.0,19.0,19.0,0
2023-04-05,19.0,19.0,19.0,19.0,19.0,0
2023-04-06,19.0,19.0,19.0,19.0,19.0,0
2023-04-11,19.0,19.0,19.0,19.0,19.0,0
2023-04-12,19.0,19.0,19.0,19.0,19.0,0
2023-04-13,19.0,19.0,19.0,19.0,19.0,0
2023-04-14,19.0,19.0,19.0,19.0,19.0,0
2023-04-17,19.0,19.0,19.0,19.0,19.0,0
2023-04-18,19.0,19.0,19.0,19.0,19.0,0
2023-04-19,19.0,19.0,19.0,19.0,19.0,0
2023-04-20,19.0,19.0,19.0,19.0,19.0,0
2023-04-21,19.0,19.0,19.0,19.0,19.0,0
2023-04-24,19.0,19.0,19.0,19.0,19.0,0
2023-04-25,19.0,19.0,19.0,19.0,19.0,0
2023-04-26,19.0,19.0,19.0,19.0,19.0,0
2023-04-27,19.0,19.0,19.0,19.0,19.0,0
2023-04-28,19.0,19.0,19.0,19.0,19.0,0
2023-05-02,19.0,19.0,19.0,19.0,19.0,0
2023-05-03,19.0,19.0,19.0,19.0,19.0,0
2023-05-04,19.0,19.0,19.0,19.0,19.0,0
2023-05-05,19.0,19.0,19.0,19.0,19.0,0
2023-05-09,19.0,19.0,19.0,19.0,19.0,0
2023-05-10,19.0,19.0,19.0,19.0,19.0,0
2023-05-11,19.0,19.0,19.0,19.0,19.0,0
2023-05-12,19.0,19.0,19.0,19.0,19.0,0
2023-05-15,19.0,19.0,19.0,19.0,19.0,0
2023-05-16,19.0,19.0,19.0,19.0,19.0,0
2023-05-17,19.0,19.0,19.0,19.0,19.0,0
2023-05-18,19.0,19.0,19.0,19.0,19.0,0
2023-05-19,19.0,19.0,19.0,19.0,19.0,0
2023-05-22,19.0,19.0,19.0,19.0,19.0,0
2023-05-23,19.0,19.0,19.0,19.0,19.0,0
2023-05-24,19.0,19.0,19.0,19.0,19.0,0
2023-05-25,19.0,19.0,19.0,19.0,19.0,0
2023-05-26,19.0,19.0,19.0,19.0,19.0,0
2023-05-30,19.0,19.0,19.0,19.0,19.0,0
2023-05-31,19.0,19.0,19.0,19.0,19.0,0
2023-06-01,19.0,19.0,19.0,19.0,19.0,0
2023-06-02,19.0,19.0,19.0,19.0,19.0,0
2023-06-05,19.0,19.0,19.0,19.0,19.0,0
2023-06-06,19.0,19.0,19.0,19.0,19.0,0
2023-06-07,19.0,19.0,19.0,19.0,19.0,0
2023-06-08,19.0,19.0,19.0,19.0,19.0,0
2023-06-09,19.0,19.0,19.0,19.0,19.0,0
2023-06-12,19.0,19.0,19.0,19.0,19.0,0
2023-06-13,19.0,19.0,19.0,19.0,19.0,0
2023-06-14,19.0,19.0,19.0,19.0,19.0,0
2023-06-15,19.0,19.0,19.0,19.0,19.0,0
2023-06-16,19.0,19.0,19.0,19.0,19.0,0
2023-06-19,19.0,19.0,19.0,19.0,19.0,0
2023-06-20,19.0,19.0,19.0,19.0,19.0,0
2023-06-21,19.0,19.0,19.0,19.0,19.0,0
2023-06-22,19.0,19.0,19.0,19.0,19.0,0
2023-06-23,19.0,19.0,19.0,19.0,19.0,0
2023-06-26,19.0,19.0,19.0,19.0,19.0,0
2023-06-27,19.0,19.0,19.0,19.0,19.0,0
2023-06-28,24.399999618530273,31.0,24.399999618530273,24.5,24.5,23211797
2023-06-29,26.25,29.298999786376953,24.635000228881836,27.5,27.5,4589290
2023-06-30,27.0,34.071998596191406,27.0,31.200000762939453,31.200000762939453,15206467
2023-07-03,32.0,33.145999908447266,30.100000381469727,31.0,31.0,3356777
2023-07-04,32.20000076293945,34.707000732421875,30.899999618530273,34.5,34.5,6156344
2023-07-05,34.20000076293945,37.0,32.97800064086914,35.0,35.0,4125144
2023-07-06,35.650001525878906,35.75,32.099998474121094,33.599998474121094,33.599998474121094,6064299
2023-07-07,34.599998474121094,35.0,32.61800003051758,32.849998474121094,32.849998474121094,1012180
2023-07-10,33.20000076293945,33.5,30.0,30.200000762939453,30.200000762939453,4380009
2023-07-11,32.0,32.20000076293945,29.5,29.700000762939453,29.700000762939453,1623287
2023-07-12,30.200000762939453,31.799999237060547,29.420000076293945,31.5,31.5,2837860
2023-07-13,32.0,33.0,30.5,32.70000076293945,32.70000076293945,1376610
2023-07-14,32.0,32.70000076293945,31.0,31.350000381469727,31.350000381469727,495375
2023-07-17,31.0,32.39500045776367,30.700000762939453,30.700000762939453,30.700000762939453,503077
2023-07-18,32.0,35.04999923706055,31.200000762939453,31.799999237060547,31.799999237060547,2729206
2023-07-19,32.5,32.5,29.0,30.200000762939453,30.200000762939453,5102212
2023-07-20,30.5,30.600000381469727,28.5,29.899999618530273,29.899999618530273,1910625
2023-07-21,30.200000762939453,30.5,28.84000015258789,29.649999618530273,29.649999618530273,1284751
2023-07-24,28.299999237060547,29.0,26.5,27.0,27.0,1910553
2023-07-25,27.100000381469727,28.827999114990234,26.0,26.450000762939453,26.450000762939453,893023
2023-07-26,26.149999618530273,28.0,26.0,28.0,28.0,820132
2023-07-27,28.450000762939453,29.0,26.5,28.0,28.0,807511
2023-07-28,29.0,29.950000762939453,27.399999618530273,28.0,28.0,480804
2023-07-31,27.0,28.39900016784668,26.5,27.0,27.0,761866
2023-08-01,26.649999618530273,27.766000747680664,25.5,26.450000762939453,26.450000762939453,824339
2023-08-02,26.450000762939453,26.850000381469727,25.0,25.5,25.5,275561
2023-08-03,25.0,25.75,24.549999237060547,24.600000381469727,24.600000381469727,925857
2023-08-04,24.5,26.950000762939453,24.5,26.299999237060547,26.299999237060547,1485656
2023-08-07,26.700000762939453,26.950000762939453,26.0,26.0,26.0,52497
2023-08-08,25.649999618530273,26.950000762939453,25.43600082397461,26.049999237060547,26.049999237060547,356586
2023-08-09,25.299999237060547,26.04199981689453,25.049999237060547,25.299999237060547,25.299999237060547,209124
2023-08-10,25.506999969482422,26.649999618530273,25.350000381469727,26.075000762939453,26.075000762939453,187086
2023-08-11,26.950000762939453,28.0,25.097999572753906,26.5,26.5,446030
2023-08-14,27.0,28.799999237060547,26.197999954223633,28.0,28.0,1400132
2023-08-15,27.5,28.450000762939453,26.549999237060547,28.0,28.0,163057
2023-08-16,28.0,28.5,26.25,28.299999237060547,28.299999237060547,406627
2023-08-17,28.399999618530273,28.399999618530273,26.049999237060547,28.399999618530273,28.399999618530273,133566
2023-08-18,27.799999237060547,28.799999237060547,26.049999237060547,27.25,27.25,137311
2023-08-21,28.0,29.46500015258789,26.732999801635742,27.0,27.0,1617643
2023-08-22,28.0,28.450000762939453,26.700000762939453,28.0,28.0,364400
2023-08-23,28.100000381469727,29.200000762939453,27.100000381469727,28.25,28.25,901968
2023-08-24,28.200000762939453,28.799999237060547,27.636999130249023,28.799999237060547,28.799999237060547,230060
2023-08-25,28.799999237060547,33.612998962402344,27.65999984741211,32.599998474121094,32.599998474121094,2229988
2023-08-29,32.650001525878906,35.08000183105469,31.200000762939453,34.5,34.5,3642308
2023-08-30,34.5,35.5099983215332,33.45000076293945,34.25,34.25,2289362
2023-08-31,33.20000076293945,39.5,27.437999725341797,28.700000762939453,28.700000762939453,8747001
2023-09-01,27.799999237060547,28.389999389648438,26.299999237060547,28.0,28.0,5198427
2023-09-04,27.700000762939453,28.0,26.5,26.700000762939453,26.700000762939453,1038898
2023-09-05,27.0,27.450000762939453,26.152000427246094,27.149999618530273,27.149999618530273,249613
2023-09-06,26.600000381469727,28.0,26.0,26.0,26.0,463655
2023-09-07,26.0,27.799999237060547,25.26099967956543,25.299999237060547,25.299999237060547,401380
2023-09-08,25.299999237060547,26.239999771118164,25.100000381469727,26.0,26.0,342077
2023-09-11,26.0,26.582000732421875,25.049999237060547,25.100000381469727,25.100000381469727,690167
2023-09-12,25.0,27.014999389648438,24.299999237060547,25.899999618530273,25.899999618530273,4263963
2023-09-13,25.700000762939453,29.100000381469727,25.549999237060547,28.0,28.0,16366772
2023-09-14,28.0,28.197999954223633,26.399999618530273,26.399999618530273,26.399999618530273,1207472
2023-09-15,26.0,27.75,26.0,26.5,26.5,444237
2023-09-18,26.299999237060547,26.799999237060547,25.75,26.799999237060547,26.799999237060547,366563
2023-09-19,26.450000762939453,26.950000762939453,25.586999893188477,26.0,26.0,654934
2023-09-20,26.450000762939453,26.450000762939453,25.25,25.25,25.25,621787
2023-09-21,26.950000762939453,26.950000762939453,24.663999557495117,25.299999237060547,25.299999237060547,332877
2023-09-22,25.299999237060547,26.450000762939453,25.030000686645508,25.450000762939453,25.450000762939453,685710
2023-09-25,25.299999237060547,25.5,24.5,24.5,24.5,178245
2023-09-26,24.5,24.989999771118164,23.5,24.549999237060547,24.549999237060547,556117
2023-09-27,24.399999618530273,24.899999618530273,24.135000228881836,24.700000762939453,24.700000762939453,402967
2023-09-28,24.5,25.823999404907227,24.299999237060547,24.799999237060547,24.799999237060547,143820
2023-09-29,24.75,25.450000762939453,24.579999923706055,25.0,25.0,104648
2023-10-02,24.899999618530273,25.950000762939453,24.06100082397461,25.0,25.0,579710
2023-10-03,24.25,25.200000762939453,23.0,23.799999237060547,23.799999237060547,1041411
2023-10-04,23.200000762939453,23.200000762939453,21.843000411987305,22.950000762939453,22.950000762939453,612945
2023-10-05,23.0,22.850000381469727,22.433000564575195,22.850000381469727,22.850000381469727,374781
