Date,Open,High,Low,Close,Adj Close,Volume
2023-03-13,190.0,194.06399536132812,182.1999969482422,186.0,186.0,398100
2023-03-14,190.0,190.0,179.39999389648438,188.60000610351562,188.60000610351562,125385
2023-03-15,188.0,190.0,181.0,185.0,185.0,239822
2023-03-16,188.0,189.0,180.1999969482422,189.0,189.0,206531
2023-03-17,187.8000030517578,190.0,183.71099853515625,188.0,188.0,102101
2023-03-20,190.0,190.0,185.0,190.0,190.0,5944
2023-03-21,190.0,190.0,185.0,188.0,188.0,18402
2023-03-22,185.1999969482422,190.0,185.1999969482422,187.5,187.5,464002
2023-03-23,190.0,192.39999389648438,188.42999267578125,192.39999389648438,192.39999389648438,14871
2023-03-24,192.0,194.3000030517578,188.60000610351562,191.89999389648438,191.89999389648438,61575
2023-03-27,192.0,195.0,185.1999969482422,195.0,195.0,54145
2023-03-28,191.1999969482422,193.0,188.39999389648438,188.39999389648438,188.39999389648438,196471
2023-03-29,185.1999969482422,190.0,185.1999969482422,190.0,190.0,5774
2023-03-30,194.8000030517578,195.0,186.11199951171875,192.60000610351562,192.60000610351562,50758
2023-03-31,191.8000030517578,193.88800048828125,189.5,192.39999389648438,192.39999389648438,170979
2023-04-03,191.0,195.0,187.9199981689453,191.0,191.0,9290
2023-04-04,191.0,194.5,191.0,194.5,194.5,66619
2023-04-05,192.5,192.5,187.5,189.5,189.5,136255
2023-04-06,187.5,193.99400329589844,187.5,188.0,188.0,58063
2023-04-11,187.5,193.0,182.0,188.0,188.0,41645
2023-04-12,185.0,193.0,185.0,189.0,189.0,33846
2023-04-13,190.0,193.0,187.5709991455078,188.25,188.25,97321
2023-04-14,189.5,194.0,188.0,192.0,192.0,26385
2023-04-17,191.5,191.5,183.5,183.5,183.5,101322
2023-04-18,180.5,180.5,162.0,164.0,164.0,172873
2023-04-19,171.5,174.5,169.0,172.5,172.5,93839
2023-04-20,174.5,174.5,167.0,170.5,170.5,131615
2023-04-21,174.5,176.5,172.0,172.5,172.5,612950
2023-04-24,176.5,177.0,171.0,171.0,171.0,174615
2023-04-25,172.0,173.5989990234375,171.5,173.25,173.25,22799
2023-04-26,171.5,175.0,171.0,171.0,171.0,112306
2023-04-27,171.0,171.5,166.5,171.0,171.0,52328
2023-04-28,175.5,175.5,166.6999969482422,168.75,168.75,14371
2023-05-02,177.0,177.0,167.4600067138672,173.0,173.0,12348
2023-05-03,166.0,172.5,166.0,170.0,170.0,272102
2023-05-04,166.5,177.5,166.5,175.5,175.5,29249
2023-05-05,177.0,179.5,171.5,175.0,175.0,287594
2023-05-09,172.5,178.5,170.0,174.0,174.0,43933
2023-05-10,171.5,175.98300170898438,171.5,173.5,173.5,131519
2023-05-11,170.5,175.5,170.5,170.5,170.5,35656
2023-05-12,170.0,173.27999877929688,170.0,170.0,170.0,21075
2023-05-15,170.0,174.50999450683594,167.38999938964844,171.0,171.0,172513
2023-05-16,172.0,173.69000244140625,170.57000732421875,172.0,172.0,6307
2023-05-17,171.5,173.375,168.0,172.25,172.25,37570
2023-05-18,172.0,175.0,170.0,175.0,175.0,72918
2023-05-19,172.5,173.0,170.5,170.5,170.5,121610
2023-05-22,174.5,174.5,170.3179931640625,174.0,174.0,44960
2023-05-23,174.5,174.5,170.1999969482422,172.5,172.5,142520
2023-05-24,172.0,173.8000030517578,172.0,173.0,173.0,69653
2023-05-25,173.5,176.0800018310547,173.0,175.0,175.0,99658
2023-05-26,174.5,175.0,170.0,171.5,171.5,121064
2023-05-30,165.5,171.22999572753906,165.5,170.5,170.5,52839
2023-05-31,169.5,174.54299926757812,169.0,170.0,170.0,411755
2023-06-01,170.5,173.5,170.0,170.0,170.0,31059
2023-06-02,170.0,173.5,169.0,170.0,170.0,59212
2023-06-05,170.0,173.8800048828125,169.2220001220703,170.0,170.0,79016
2023-06-06,174.5,174.5,169.0,174.5,174.5,2724
2023-06-07,171.5,174.0,169.0,170.0,170.0,33635
2023-06-08,170.0,174.0,169.47999572753906,174.0,174.0,25881
2023-06-09,174.0,174.0,170.0,172.5,172.5,4411
2023-06-12,170.5,172.5,170.0,171.5,171.5,43289
2023-06-13,168.5,173.5,168.0,173.5,173.5,189643
2023-06-14,150.0,160.0,138.3000030517578,159.0,159.0,1360493
2023-06-15,158.0,162.5,158.0,158.0,158.0,35453
2023-06-16,158.0,161.0,155.5,161.0,161.0,691402
2023-06-19,160.0,162.25,155.0,155.0,155.0,33035
2023-06-20,158.0,158.5,155.4040069580078,158.0,158.0,57057
2023-06-21,158.0,161.3800048828125,157.9600067138672,158.0,158.0,128383
