Date,Open,High,Low,Close,Adj Close,Volume
2023-03-13,469.0,475.0,451.0,455.0,455.0,385920
2023-03-14,468.0,468.0,453.0,461.5,461.5,210063
2023-03-15,452.5,461.0,440.0,445.5,445.5,313506
2023-03-16,460.0,460.0,438.0,447.5,447.5,146673
2023-03-17,447.5,454.0,432.5,433.5,433.5,509123
2023-03-20,425.5,452.0,413.8900146484375,432.5,432.5,189562
2023-03-21,445.5,449.5,429.0,435.5,435.5,314749
2023-03-22,433.5,445.0,427.0,445.0,445.0,361260
2023-03-23,425.0,445.0,425.0,444.5,444.5,124447
2023-03-24,436.5,437.83599853515625,424.0,428.5,428.5,402914
2023-03-27,432.5,438.1669921875,418.0,424.5,424.5,434205
2023-03-28,425.5,426.3330078125,418.5,421.0,421.0,439069
2023-03-29,422.5,425.8999938964844,414.0,422.0,422.0,324077
2023-03-30,439.0,439.0,417.6300048828125,419.0,419.0,239839
2023-03-31,425.0,425.0,415.0,416.5,416.5,436739
2023-04-03,437.0,437.0,410.1400146484375,415.0,415.0,349616
2023-04-04,406.5,417.0,406.5,409.5,409.5,138447
2023-04-05,418.0,418.0,400.0,401.5,401.5,200234
2023-04-06,415.0,415.0,395.5,400.5,400.5,104871
2023-04-11,400.0,408.5,399.0,406.5,406.5,285907
2023-04-12,418.0,418.0,401.5,413.0,413.0,185619
2023-04-13,411.0,421.0,404.5,421.0,421.0,518764
2023-04-14,398.5,425.5,398.5,423.0,423.0,181841
2023-04-17,416.0,431.5,405.4020080566406,418.5,418.5,276652
2023-04-18,403.5,422.5,403.5,416.0,416.0,159501
2023-04-19,406.0,414.0,406.0,411.5,411.5,171551
2023-04-20,423.5,423.5,404.5,415.5,415.5,320440
2023-04-21,412.0,420.2699890136719,412.0,415.5,415.5,121226
2023-04-24,411.5,419.8999938964844,411.5,414.5,414.5,160335
2023-04-25,409.5,415.0,408.1199951171875,410.5,410.5,209719
2023-04-26,415.0,415.0,405.5,410.5,410.5,202068
2023-04-27,405.0,418.0,405.0,415.0,415.0,330356
2023-04-28,422.0,424.5,412.5,421.5,421.5,197699
2023-05-02,430.0,430.0,415.5,423.5,423.5,561502
2023-05-03,424.5,425.0,417.0,419.0,419.0,206918
2023-05-04,423.0,423.0,406.5,407.5,407.5,190257
2023-05-05,408.5,415.0,404.0,413.0,413.0,126545
2023-05-09,413.0,416.5,404.0,411.0,411.0,442450
