Date,Open,High,Low,Close,Adj Close,Volume
2023-03-13,2781.0,2845.0,2727.0,2824.0,2824.0,763539
2023-03-14,2817.0,2865.25,2800.0,2812.0,2812.0,780190
2023-03-15,2811.0,2850.0,2785.0,2810.0,2810.0,1210105
2023-03-16,2824.0,2861.0,2795.0,2850.0,2850.0,1203068
2023-03-17,2840.0,2849.0,2769.0,2813.0,2813.0,2388974
2023-03-20,2810.0,2914.0,2810.0,2849.0,2849.0,750974
2023-03-21,2856.0,2856.0,2798.0,2808.0,2808.0,526000
2023-03-22,2792.0,2796.0,2734.219970703125,2796.0,2796.0,992397
2023-03-23,2801.0,2842.0,2787.0,2833.0,2833.0,1437480
2023-03-24,2829.0,2837.0,2790.0,2816.0,2816.0,702539
2023-03-27,2816.0,2820.0,2797.0,2807.0,2807.0,535596
2023-03-28,2819.0,2819.0,2779.0,2793.0,2793.0,447041
2023-03-29,2799.0,2850.0,2784.0,2843.0,2843.0,357919
2023-03-30,2855.0,2878.0,2844.451904296875,2868.0,2868.0,427324
2023-03-31,2863.0,2895.0,2854.0,2879.0,2879.0,540593
2023-04-03,2877.0,2887.0,2821.0,2824.0,2824.0,774705
2023-04-04,2839.0,2849.0,2793.0,2844.0,2844.0,669276
2023-04-05,2855.0,2918.0,2846.0,2912.0,2912.0,724307
2023-04-06,2916.0,2977.0,2906.0,2959.0,2959.0,553645
2023-04-11,2920.0,2983.0,2914.0,2942.0,2942.0,632218
2023-04-12,2937.0,2999.02001953125,2937.0,2962.0,2962.0,579700
2023-04-13,2973.0,2973.0,2926.0,2942.0,2942.0,434467
2023-04-14,2951.0,2956.0,2902.0,2904.0,2904.0,424022
2023-04-17,2910.0,2923.0,2882.0,2913.0,2913.0,486342
2023-04-18,2906.0,2918.0,2871.0,2905.0,2905.0,421785
2023-04-19,2892.0,2912.0,2858.0,2893.0,2893.0,504868
2023-04-20,2884.0,2919.0,2875.0,2919.0,2919.0,976931
2023-04-21,2909.0,2947.0,2901.0,2919.0,2919.0,3366039
2023-04-24,2920.0,2949.0,2910.0,2920.0,2920.0,520788
2023-04-25,2916.0,2960.0,2907.0,2956.0,2956.0,852196
2023-04-26,2953.0,2970.0,2930.0,2936.0,2936.0,356478
2023-04-27,2932.0,2945.0,2919.0,2924.0,2924.0,457923
2023-04-28,2922.0,2937.0,2914.0,2932.0,2932.0,993282
2023-05-02,2927.0,2934.0,2862.0,2902.0,2902.0,773465
2023-05-03,2888.0,2951.0,2888.0,2935.0,2935.0,356596
2023-05-04,2929.0,2971.0,2905.0,2969.0,2969.0,739680
2023-05-05,2962.0,2978.0,2938.0,2975.0,2975.0,401884
2023-05-09,2960.0,2979.0,2921.0,2958.0,2958.0,576503
