Date,Open,High,Low,Close,Adj Close,Volume
2023-03-13,450.0,470.0,450.0,462.5,462.5,60259
2023-03-14,470.0,470.0,470.0,470.0,470.0,0
2023-03-15,460.0,469.0,450.0,450.0,450.0,69485
2023-03-16,453.0,453.0,445.0,452.5,452.5,2480
2023-03-17,445.0,451.0,445.0,445.0,445.0,3388
2023-03-20,462.0,462.0,447.0,449.5,449.5,1237889
2023-03-21,450.0,453.7300109863281,448.0,452.5,452.5,46283
2023-03-22,452.0,465.3999938964844,450.0,450.0,450.0,45183
2023-03-23,445.0,445.79998779296875,445.0,449.5,449.5,8088
2023-03-24,445.0,450.0,437.0,448.0,448.0,64181
2023-03-27,437.0,455.70001220703125,437.0,437.0,437.0,139071
2023-03-28,441.0,450.0,439.1600036621094,443.0,443.0,27372
2023-03-29,444.0,451.9700012207031,440.0,449.5,449.5,20892
2023-03-30,460.0,460.0,437.1499938964844,460.0,460.0,18684
2023-03-31,438.5509948730469,450.0,438.5509948730469,447.0,447.0,4860
2023-04-03,440.0,447.0,437.0,447.0,447.0,64886
2023-04-04,456.0,456.0,438.5509948730469,447.0,447.0,10416
2023-04-05,439.0,450.0,439.0,448.5,448.5,1036
2023-04-06,439.0,447.0,438.0,442.5,442.5,536537
2023-04-11,459.0,459.0,437.6600036621094,448.0,448.0,14381
2023-04-12,445.0,452.0,445.0,449.0,449.0,33659
2023-04-13,441.0,441.0,441.0,449.0,449.0,97
2023-04-14,449.0,449.0,449.0,449.0,449.0,0
2023-04-17,440.5,454.0,440.5,450.0,450.0,9720
2023-04-18,452.70001220703125,456.29998779296875,445.5,452.5,452.5,11303
2023-04-19,450.1099853515625,455.0,441.0,452.5,452.5,18497
2023-04-20,446.0,463.4599914550781,446.0,455.0,455.0,10689
2023-04-21,454.0,467.79998779296875,452.70001220703125,462.5,462.5,22860
2023-04-24,462.70001220703125,466.29998779296875,455.6000061035156,462.5,462.5,3789
2023-04-25,461.0,480.0,460.0,476.0,476.0,50312
2023-04-26,460.0,475.0,460.0,467.5,467.5,2522
