Date,Open,High,Low,Close,Adj Close,Volume
2023-03-13,1968.0,1968.0,1900.0,1904.0,1904.0,98163
2023-03-14,1956.0,1956.0,1890.0,1930.0,1930.0,91973
2023-03-15,1942.0,1948.0,1876.0,1888.0,1888.0,251048
2023-03-16,1890.0,1944.0,1860.0,1918.0,1918.0,105776
2023-03-17,1920.0,1934.0,1882.0,1900.0,1900.0,406838
2023-03-20,1870.0,1912.0,1864.0,1904.0,1904.0,177681
2023-03-21,1910.0,1964.0,1862.0,1964.0,1964.0,98973
2023-03-22,1948.0,1957.8399658203125,1914.0,1920.0,1920.0,73795
2023-03-23,1922.0,1934.0,1888.0,1898.0,1898.0,37324
2023-03-24,1880.0,1940.0,1859.199951171875,1940.0,1940.0,198553
2023-03-27,1958.0,1958.0,1912.0,1934.0,1934.0,106298
2023-03-28,1910.0,1952.0,1870.0,1884.0,1884.0,184471
2023-03-29,1884.0,1926.0,1878.0,1926.0,1926.0,93668
2023-03-30,1922.0,1948.0,1920.0,1934.0,1934.0,82863
2023-03-31,1920.0,1922.0,1882.0,1890.0,1890.0,72417
2023-04-03,1894.0,1918.0,1814.0,1854.0,1854.0,223249
2023-04-04,1858.0,1902.0,1814.0,1890.0,1890.0,129654
2023-04-05,1872.0,1918.0,1833.52001953125,1860.0,1860.0,112790
2023-04-06,1820.0,1906.0,1820.0,1904.0,1904.0,61526
2023-04-11,1910.0,1920.0,1898.0,1910.0,1910.0,107082
2023-04-12,1910.0,1922.0,1894.0,1922.0,1922.0,86179
2023-04-13,1940.0,1954.0,1918.0,1950.0,1950.0,168258
2023-04-14,1946.0,1982.0,1945.5,1966.0,1966.0,86738
2023-04-17,1980.0,2010.0,1960.0,1976.0,1976.0,74032
2023-04-18,2025.0,2025.0,1926.0,1944.0,1944.0,133847
2023-04-19,1936.0,1990.0,1930.0,1972.0,1972.0,93235
2023-04-20,1966.0,1992.0,1922.0,1924.0,1924.0,535794
2023-04-21,1920.0,1948.5,1898.0,1918.0,1918.0,61332
2023-04-24,1900.0,1942.5860595703125,1900.0,1916.0,1916.0,62013
2023-04-25,1900.0,1932.0,1900.0,1924.0,1924.0,319007
2023-04-26,1948.0,1952.0,1906.5909423828125,1940.0,1940.0,65257
2023-04-27,1958.0,1966.0,1864.0,1864.0,1864.0,205994
2023-04-28,1882.0,1922.0,1796.199951171875,1806.0,1806.0,167702
2023-05-02,1860.0,1860.0,1762.0,1770.0,1770.0,210641
2023-05-03,1798.0,1804.0,1738.23095703125,1748.0,1748.0,154874
2023-05-04,1772.0,1794.9749755859375,1742.4239501953125,1752.0,1752.0,88906
2023-05-05,1754.0,1772.0,1705.9200439453125,1766.0,1766.0,172424
2023-05-09,1770.0,1778.0,1690.0,1704.0,1704.0,174337
2023-05-10,1710.0,1776.0,1704.64599609375,1772.0,1772.0,142989
2023-05-11,1762.0,1808.0,1760.0,1794.0,1794.0,144639
2023-05-12,1760.0,1808.0,1760.0,1792.0,1792.0,131315
2023-05-15,1800.0,1826.0,1792.239990234375,1814.0,1814.0,250573
2023-05-16,1808.0,1828.0,1801.760009765625,1822.0,1822.0,182129
2023-05-17,1808.0,1818.748046875,1752.64599609375,1754.0,1754.0,139514
2023-05-18,1766.0,1786.72802734375,1707.760009765625,1732.0,1732.0,69594
2023-05-19,1716.0,1742.0,1716.0,1742.0,1742.0,92841
2023-05-22,1740.0,1754.0,1698.0,1698.0,1698.0,156859
2023-05-23,1712.0,1720.0,1680.0,1680.0,1680.0,92759
2023-05-24,1688.0,1688.0,1606.0,1624.0,1624.0,141285
2023-05-25,1644.0,1650.0,1596.0,1596.0,1596.0,114261
2023-05-26,1610.0,1614.969970703125,1542.0,1548.0,1548.0,118318
2023-05-30,1586.0,1593.0,1538.0,1540.0,1540.0,587681
2023-05-31,1546.0,1562.0,1520.0,1520.0,1520.0,605082
2023-06-01,1534.0,1560.0,1526.0,1532.0,1532.0,145413
2023-06-02,1508.0,1541.947998046875,1494.823974609375,1530.0,1530.0,330314
2023-06-05,1512.0,1546.0,1494.0,1514.0,1514.0,452021
2023-06-06,1560.0,1560.0,1516.0,1530.0,1530.0,137234
2023-06-07,1526.0,1534.0,1500.0,1506.0,1506.0,109721
2023-06-08,1514.0,1514.0,1498.0,1504.0,1504.0,82395
2023-06-09,1472.0,1500.0,1468.0,1486.0,1486.0,128163
2023-06-12,1478.0,1488.0,1442.0,1464.0,1464.0,284794
2023-06-13,1468.0,1483.1209716796875,1450.0,1472.0,1472.0,541968
2023-06-14,1462.0,1510.0,1462.0,1500.0,1500.0,673325
2023-06-15,1500.0,1554.0,1498.0,1526.0,1526.0,200067
2023-06-16,1496.0,1560.0,1496.0,1538.0,1538.0,337007
2023-06-19,1536.0,1592.0,1526.0,1586.0,1586.0,502566
2023-06-20,1580.0,1588.0,1530.0,1542.0,1542.0,120815
2023-06-21,1508.0,1556.0,1496.5260009765625,1552.0,1552.0,109648
2023-06-22,1568.0,1580.0,1518.0,1530.0,1530.0,163586
2023-06-23,1520.0,1561.0,1514.0,1518.0,1518.0,118243
2023-06-26,1494.0,1544.0,1494.0,1510.0,1510.0,174715
2023-06-27,1510.0,1708.0,1462.0,1642.0,1642.0,529104
2023-06-28,1632.0,1683.6400146484375,1623.760009765625,1674.0,1674.0,542189
2023-06-29,1680.0,1692.1820068359375,1646.0,1656.0,1656.0,164355
2023-06-30,1670.0,1710.0,1652.0,1690.0,1690.0,539106
2023-07-03,1688.0,1750.0,1687.02001953125,1726.0,1726.0,125442
2023-07-04,1708.0,1734.0,1705.0059814453125,1726.0,1726.0,384021
2023-07-05,1710.0,1734.0,1706.0,1708.0,1708.0,103460
2023-07-06,1682.0,1728.0,1644.0,1646.0,1646.0,140868
2023-07-07,1640.0,1658.0,1626.0,1650.0,1650.0,226641
2023-07-10,1646.0,1674.0,1630.93896484375,1644.0,1644.0,106763
2023-07-11,1640.0,1671.3160400390625,1638.0,1648.0,1648.0,176569
2023-07-12,1654.0,1712.0,1610.0,1686.0,1686.0,86128
2023-07-13,1690.0,1710.4339599609375,1660.0,1702.0,1702.0,158002
2023-07-14,1658.0,1706.0999755859375,1658.0,1698.0,1698.0,78146
2023-07-17,1670.0,1702.0,1660.0,1678.0,1678.0,67139
2023-07-18,1660.0,1692.8599853515625,1660.0,1678.0,1678.0,101577
2023-07-19,1724.0,1767.39697265625,1708.0,1764.0,1764.0,368369
2023-07-20,1764.0,1764.0,1688.0,1698.0,1698.0,193092
2023-07-21,1702.0,1712.0,1688.0,1692.0,1692.0,178038
2023-07-24,1714.0,1738.0,1678.0,1698.0,1698.0,62471
2023-07-25,1690.0,1712.0,1671.199951171875,1712.0,1712.0,147404
2023-07-26,1706.0,1722.0,1678.0,1688.0,1688.0,89236
2023-07-27,1688.0,1696.5479736328125,1648.0,1660.0,1660.0,136845
2023-07-28,1662.0,1676.0,1650.0,1662.0,1662.0,60503
2023-07-31,1678.0,1700.0,1654.0,1664.0,1664.0,121741
2023-08-01,1668.0,1691.5,1661.0,1668.0,1668.0,101780
2023-08-02,1668.0,1670.0,1632.0,1656.0,1656.0,129602
2023-08-03,1650.0,1650.0,1595.8179931640625,1616.0,1616.0,158642
2023-08-04,1626.0,1694.0,1626.0,1676.0,1676.0,126879
2023-08-07,1678.0,1702.489990234375,1628.0,1642.0,1642.0,138362
2023-08-08,1662.0,1672.0,1644.0,1650.0,1650.0,95387
2023-08-09,1672.0,1672.0,1642.0,1658.0,1658.0,42149
2023-08-10,1666.0,1682.0,1664.0,1682.0,1682.0,110840
2023-08-11,1692.0,1692.0,1670.0,1670.0,1670.0,124098
2023-08-14,1708.0,1708.0,1632.0,1632.0,1632.0,232537
2023-08-15,1620.0,1643.3179931640625,1608.0,1622.0,1622.0,74972
2023-08-16,1584.0,1650.0,1584.0,1634.0,1634.0,81842
2023-08-17,1626.0,1638.6199951171875,1596.0,1604.0,1604.0,59965
2023-08-18,1582.0,1596.0,1544.0,1580.0,1580.0,63861
2023-08-21,1560.0,1584.0,1540.0,1540.0,1540.0,90429
2023-08-22,1518.0,1576.0,1518.0,1556.0,1556.0,90118
2023-08-23,1548.0,1606.0,1548.0,1592.0,1592.0,145607
2023-08-24,1572.0,1615.280029296875,1554.0,1568.0,1568.0,74086
2023-08-25,1604.0,1604.0,1566.0,1586.0,1586.0,35480
2023-08-29,1600.0,1618.0,1576.0,1588.0,1588.0,57231
2023-08-30,1580.0,1590.0,1558.0,1582.0,1582.0,55364
2023-08-31,1576.0,1602.0,1576.0,1590.0,1590.0,271043
2023-09-01,1584.0,1600.0,1576.0,1584.0,1584.0,103220
2023-09-04,1618.0,1618.0,1584.0,1590.0,1590.0,78027
2023-09-05,1570.0,1604.0,1570.0,1578.0,1578.0,81008
