Date,Open,High,Low,Close,Adj Close,Volume
2023-03-13,777.0,779.0,754.8499755859375,757.5,757.5,724590
2023-03-14,747.5,767.5,747.5,762.0,762.0,514226
2023-03-15,761.5,765.5,734.1640014648438,742.5,742.5,877961
2023-03-16,750.0,756.5,740.5020141601562,756.0,756.0,616124
2023-03-17,753.0,761.0,731.0,731.0,731.0,5059722
2023-03-20,728.0,734.5,712.5,728.5,728.5,808278
2023-03-21,709.5,742.0,709.5,732.0,732.0,1414640
2023-03-22,746.5,765.7550048828125,733.0,733.0,733.0,921801
2023-03-23,740.0,758.0,735.0,753.5,753.5,1546243
2023-03-24,748.0,748.5,718.0,722.5,722.5,1534256
2023-03-27,730.0,741.0,724.25,734.0,734.0,844864
2023-03-28,741.0,746.0,726.0,733.5,733.5,537996
2023-03-29,723.5,768.0,723.5,766.0,766.0,928204
2023-03-30,778.0,791.5,767.0,788.5,788.5,602202
2023-03-31,773.5,792.5,773.5,781.0,781.0,802576
2023-04-03,784.5,797.0,779.5,781.0,781.0,694234
2023-04-04,792.5,792.9949951171875,768.5,770.0,770.0,293634
2023-04-05,770.0,770.0,743.0,746.0,746.0,529013
2023-04-06,739.0,765.0009765625,739.0,764.0,764.0,464719
2023-04-11,760.0,782.5,760.0,776.0,776.0,1336572
2023-04-12,762.5,791.0,762.5,784.0,784.0,731314
2023-04-13,791.5,808.0,789.5,808.0,808.0,1227994
2023-04-14,825.5,836.0,802.7509765625,835.0,835.0,896751
2023-04-17,815.0,833.5,813.0750122070312,828.5,828.5,704722
2023-04-18,830.5,836.0,822.0020141601562,832.5,832.5,554634
2023-04-19,830.5,843.5,822.5,835.5,835.5,796174
2023-04-20,808.5,808.5,773.0,782.0,782.0,753889
2023-04-21,778.0,782.0,769.5,775.5,775.5,644322
2023-04-24,774.0,781.0,766.5,768.5,768.5,2162634
2023-04-25,787.0,787.0,749.0,753.0,753.0,1425264
2023-04-26,745.0,784.5,743.239013671875,778.0,778.0,1149490
2023-04-27,771.0,783.0,768.4000244140625,770.5,770.5,502567
2023-04-28,774.5,815.02001953125,768.5,782.5,782.5,1096607
2023-05-02,789.0,816.5,785.4000244140625,794.5,794.5,703768
2023-05-03,816.5,816.5,782.5,782.5,782.5,612800
2023-05-04,787.5,787.5,775.0,775.0,775.0,571783
2023-05-05,772.5,793.5,772.5,786.0,786.0,473068
2023-05-09,802.0,802.0,763.0,771.0,771.0,906220
2023-05-10,784.5,784.5,771.75,780.5,780.5,494537
2023-05-11,777.0,787.5,769.75,773.0,773.0,521427
2023-05-12,788.0,790.0,773.2940063476562,787.0,787.0,516836
2023-05-15,793.0,802.0,790.5,802.0,802.0,799002
2023-05-16,801.5,817.5,801.5,816.5,816.5,532568
2023-05-17,820.0,821.5,810.0,814.0,814.0,679033
2023-05-18,825.0,855.5999755859375,825.0,851.0,851.0,1055893
2023-05-19,852.5,853.719970703125,826.5,826.5,826.5,1215326
2023-05-22,827.5,831.5700073242188,813.0,813.0,813.0,384982
2023-05-23,801.0,814.5,790.0,790.0,790.0,630798
2023-05-24,790.0,790.0,751.301025390625,751.5,751.5,639926
2023-05-25,756.0,756.0,744.9219970703125,751.0,751.0,382935
2023-05-26,767.0,767.0,734.0,740.0,740.0,431737
2023-05-30,734.0,746.0,734.0,743.5,743.5,903271
2023-05-31,741.5,741.5,722.5,723.0,723.0,1127853
2023-06-01,711.0,748.8499755859375,711.0,743.5,743.5,612365
2023-06-02,752.0,770.0,744.5,766.5,766.5,983078
2023-06-05,761.0,778.0,761.0,773.0,773.0,635868
2023-06-06,777.0,779.5,764.5,776.5,776.5,379485
2023-06-07,793.5,793.5,767.5239868164062,774.0,774.0,380378
2023-06-08,790.0,790.0,758.0,764.0,764.0,519700
2023-06-09,777.0,777.0,749.8939819335938,761.0,761.0,511066
2023-06-12,743.5,780.0,743.5,780.0,780.0,453935
2023-06-13,760.5,784.0,743.239013671875,748.0,748.0,670153
2023-06-14,750.0,750.0,734.5,744.0,744.0,708277
2023-06-15,747.5,749.5,731.5,742.0,742.0,366730
2023-06-16,740.0,747.5,718.0,722.5,722.5,1567173
2023-06-19,715.5,723.5,701.8930053710938,707.0,707.0,513493
2023-06-20,700.5,711.4299926757812,700.5,703.0,703.0,831892
2023-06-21,703.5,709.0,677.7869873046875,679.5,679.5,1014671
2023-06-22,678.0,680.5,644.0,657.5,657.5,917042
2023-06-23,646.5,653.3510131835938,635.5,636.0,636.0,662671
2023-06-26,645.5,645.5,621.6900024414062,637.0,637.0,799212
2023-06-27,638.5,644.0,632.239990234375,642.5,642.5,2006420
2023-06-28,644.5,655.0,642.5,652.5,652.5,1234530
2023-06-29,667.0,667.0,635.0,650.5,650.5,942309
2023-06-30,650.5,666.5,649.0,660.5,660.5,705110
2023-07-03,675.0,675.0,654.0,670.0,670.0,419023
2023-07-04,666.0,669.0,652.5,668.0,668.0,1418603
2023-07-05,666.5,668.0,656.0,663.5,663.5,575884
2023-07-06,657.5,660.5,636.5,640.0,640.0,1275179
2023-07-07,644.5,644.5,630.5,642.0,642.0,301090
2023-07-10,642.0,651.0850219726562,636.5499877929688,648.0,648.0,437273
